time,set point,output,process,set point test,output test,process test
0,"-0,57087","-15,762",0,"0,025909","0,72401",0
"0,02","-0,57087","-16,7","-0,0011256","0,025909","0,76706","5,114E-05"
"0,04","-0,57087","-17,578","-0,0042448","0,025909","0,80738","0,00019285"
"0,06","-0,57087","-18,401","-0,0090349","0,025909","0,84522","0,00041047"
"0,08","-0,57087","-19,176","-0,015222","0,025909","0,88082","0,00069158"
"0,1","-0,57087","-19,907","-0,022575","0,025909","0,91436","0,0010256"
"0,12","-0,57087","-20,596","-0,030896","0,025909","0,94602","0,0014037"
"0,14","-0,57087","-21,247","-0,040017","0,025909","0,97594","0,0018181"
"0,16","-0,57087","-21,863","-0,049795","0,025909","1,0042","0,0022623"
"0,18","-0,57087","-22,447","-0,060107","0,025909","1,031","0,0027308"
"0,2","-0,57087","-22,999","-0,070849","0,025909","1,0564","0,0032188"
"0,22","-0,57087","-23,523","-0,08193","0,025909","1,0805","0,0037222"
"0,24","-0,57087","-24,019","-0,093274","0,025909","1,1033","0,0042376"
"0,26","-0,57087","-24,49","-0,10481","0,025909","1,1249","0,0047619"
"0,28","-0,57087","-24,935","-0,11649","0,025909","1,1454","0,0052924"
"0,3","-0,57087","-25,358","-0,12826","0,025909","1,1648","0,0058271"
"0,32","-0,57087","-25,758","-0,14007","0,025909","1,1831","0,0063638"
"0,34","-0,57087","-26,137","-0,1519","0,025909","1,2006","0,0069009"
"0,36","-0,57087","-26,496","-0,1637","0,025909","1,217","0,007437"
"0,38","-0,57087","-26,835","-0,17544","0,025909","1,2326","0,0079707"
"0,4","-0,57087","-27,156","-0,18712","0,025909","1,2473","0,008501"
"0,42","-0,57087","-27,458","-0,19869","0,025909","1,2612","0,0090269"
"0,44","-0,57087","-27,744","-0,21015","0,025909","1,2743","0,0095475"
"0,46","-0,57087","-28,013","-0,22148","0,025909","1,2867","0,010062"
"0,48","-0,57087","-28,266","-0,23266","0,025909","1,2983","0,01057"
"0,5","-0,57087","-28,503","-0,24368","0,025909","1,3092","0,011071"
"0,52","-0,57087","-28,726","-0,25453","0,025909","1,3195","0,011564"
"0,54","-0,57087","-28,935","-0,2652","0,025909","1,3291","0,012049"
"0,56","-0,57087","-29,13","-0,27569","0,025909","1,338","0,012525"
"0,58","-0,57087","-29,312","-0,28598","0,025909","1,3464","0,012992"
"0,6","-0,57087","-29,482","-0,29607","0,025909","1,3542","0,013451"
"0,62","-0,57087","-29,639","-0,30596","0,025909","1,3614","0,0139"
"0,64","-0,57087","-29,785","-0,31564","0,025909","1,3681","0,01434"
"0,66","-0,57087","-29,92","-0,3251","0,025909","1,3743","0,01477"
"0,68","-0,57087","-30,045","-0,33435","0,025909","1,38","0,01519"
"0,7","-0,57087","-30,159","-0,34339","0,025909","1,3853","0,015601"
"0,72","-0,57087","-30,263","-0,3522","0,025909","1,3901","0,016001"
"0,74","-0,57087","-30,358","-0,3608","0,025909","1,3944","0,016392"
"0,76","-0,57087","-30,445","-0,36918","0,025909","1,3984","0,016772"
"0,78","-0,57087","-30,522","-0,37733","0,025909","1,402","0,017143"
"0,8","-0,57087","-30,592","-0,38527","0,025909","1,4052","0,017503"
"0,82","-0,57087","-30,653","-0,39298","0,025909","1,408","0,017854"
"0,84","-0,57087","-30,708","-0,40048","0,025909","1,4105","0,018195"
"0,86","-0,57087","-30,755","-0,40776","0,025909","1,4127","0,018525"
"0,88","-0,57087","-30,796","-0,41483","0,025909","1,4145","0,018846"
"0,9","-0,57087","-30,83","-0,42168","0,025909","1,4161","0,019158"
"0,92","-0,57087","-30,858","-0,42831","0,025909","1,4174","0,019459"
"0,94","-0,57087","-30,88","-0,43474","0,025909","1,4184","0,019751"
"0,96","-0,57087","-30,897","-0,44097","0,025909","1,4192","0,020034"
"0,98","-0,57087","-30,909","-0,44698","0,025909","1,4197","0,020307"
1,"-0,57087","-30,916","-0,4528","0,025909","1,42","0,020572"
"1,02","-0,57087","-30,918","-0,45842","0,025909","1,4201","0,020827"
"1,04","-0,57087","-30,916","-0,46384","0,025909","1,42","0,021073"
"1,06","-0,57087","-30,91","-0,46907","0,025909","1,4198","0,021311"
"1,08","-0,57087","-30,9","-0,47411","0,025909","1,4193","0,02154"
"1,1","-0,57087","-30,886","-0,47896","0,025909","1,4187","0,02176"
"1,12","-0,57087","-30,869","-0,48363","0,025909","1,4179","0,021972"
"1,14","-0,57087","-30,849","-0,48812","0,025909","1,417","0,022176"
"1,16","-0,57087","-30,826","-0,49244","0,025909","1,4159","0,022373"
"1,18","-0,57087","-30,801","-0,49659","0,025909","1,4148","0,022561"
"1,2","-0,57087","-30,772","-0,50057","0,025909","1,4135","0,022742"
"1,22","-0,57087","-30,742","-0,50438","0,025909","1,4121","0,022915"
"1,24","-0,57087","-30,709","-0,50803","0,025909","1,4106","0,023081"
"1,26","-0,57087","-30,675","-0,51153","0,025909","1,409","0,02324"
"1,28","-0,57087","-30,638","-0,51488","0,025909","1,4073","0,023392"
"1,3","-0,57087","-30,6","-0,51807","0,025909","1,4055","0,023537"
"1,32","-0,57087","-30,56","-0,52112","0,025909","1,4037","0,023676"
"1,34","-0,57087","-30,519","-0,52404","0,025909","1,4018","0,023808"
"1,36","-0,57087","-30,477","-0,52681","0,025909","1,3999","0,023934"
"1,38","-0,57087","-30,434","-0,52945","0,025909","1,3979","0,024054"
"1,4","-0,57087","-30,39","-0,53196","0,025909","1,3959","0,024168"
"1,42","-0,57087","-30,345","-0,53434","0,025909","1,3938","0,024276"
"1,44","-0,57087","-30,299","-0,53661","0,025909","1,3917","0,024379"
"1,46","-0,57087","-30,252","-0,53875","0,025909","1,3896","0,024476"
"1,48","-0,57087","-30,206","-0,54078","0,025909","1,3874","0,024569"
"1,5","-0,57087","-30,158","-0,5427","0,025909","1,3852","0,024656"
"1,52","-0,57087","-30,111","-0,54451","0,025909","1,3831","0,024738"
"1,54","-0,57087","-30,063","-0,54621","0,025909","1,3809","0,024815"
"1,56","-0,57087","-30,015","-0,54782","0,025909","1,3787","0,024888"
"1,58","-0,57087","-29,967","-0,54933","0,025909","1,3765","0,024957"
"1,6","-0,57087","-29,919","-0,55074","0,025909","1,3743","0,025021"
"1,62","-0,57087","-29,871","-0,55207","0,025909","1,3721","0,025081"
"1,64","-0,57087","-29,824","-0,5533","0,025909","1,3699","0,025138"
"1,66","-0,57087","-29,776","-0,55446","0,025909","1,3677","0,02519"
"1,68","-0,57087","-29,729","-0,55553","0,025909","1,3655","0,025239"
"1,7","-0,57087","-29,682","-0,55652","0,025909","1,3634","0,025284"
"1,72","-0,57087","-29,636","-0,55744","0,025909","1,3613","0,025326"
"1,74","-0,57087","-29,59","-0,55829","0,025909","1,3591","0,025364"
"1,76","-0,57087","-29,544","-0,55907","0,025909","1,3571","0,0254"
"1,78","-0,57087","-29,499","-0,55979","0,025909","1,355","0,025432"
"1,8","-0,57087","-29,455","-0,56044","0,025909","1,3529","0,025462"
"1,82","-0,57087","-29,411","-0,56103","0,025909","1,3509","0,025488"
"1,84","-0,57087","-29,368","-0,56156","0,025909","1,3489","0,025513"
"1,86","-0,57087","-29,325","-0,56203","0,025909","1,347","0,025534"
"1,88","-0,57087","-29,284","-0,56246","0,025909","1,3451","0,025554"
"1,9","-0,57087","-29,242","-0,56283","0,025909","1,3432","0,025571"
"1,92","-0,57087","-29,202","-0,56316","0,025909","1,3413","0,025585"
"1,94","-0,57087","-29,162","-0,56344","0,025909","1,3395","0,025598"
"1,96","-0,57087","-29,123","-0,56367","0,025909","1,3377","0,025609"
"1,98","-0,57087","-29,085","-0,56387","0,025909","1,336","0,025618"
2,"-0,57087","-29,048","-0,56402","0,025909","1,3342","0,025625"
"2,02","-0,57087","-29,011","-0,56414","0,025909","1,3326","0,02563"
"2,04","-0,57087","-28,975","-0,56423","0,025909","1,3309","0,025634"
"2,06","-0,57087","-28,94","-0,56428","0,025909","1,3293","0,025636"
"2,08","-0,57087","-28,906","-0,56429","0,025909","1,3277","0,025637"
"2,1","-0,57087","-28,873","-0,56428","0,025909","1,3262","0,025636"
