time,set point,output,process,set point test,output test,process test
0,"-2,8104","-44,143",0,"0,12909","2,0276",0
"0,02","-2,8104","-46,672","-0,016245","0,12909","2,1438","0,00074616"
"0,04","-2,8104","-48,705","-0,061224","0,12909","2,2371","0,0028122"
"0,06","-2,8104","-50,291","-0,1301","0,12909","2,31","0,0059758"
"0,08","-2,8104","-51,477","-0,21856","0,12909","2,3645","0,010039"
"0,1","-2,8104","-52,306","-0,32279","0,12909","2,4026","0,014826"
"0,12","-2,8104","-52,818","-0,43937","0,12909","2,4261","0,020181"
"0,14","-2,8104","-53,05","-0,56533","0,12909","2,4367","0,025967"
"0,16","-2,8104","-53,036","-0,69801","0,12909","2,4361","0,032062"
"0,18","-2,8104","-52,809","-0,83513","0,12909","2,4257","0,03836"
"0,2","-2,8104","-52,398","-0,97466","0,12909","2,4068","0,044769"
"0,22","-2,8104","-51,829","-1,1149","0,12909","2,3806","0,051209"
"0,24","-2,8104","-51,128","-1,2543","0,12909","2,3484","0,057612"
"0,26","-2,8104","-50,316","-1,3916","0,12909","2,3112","0,063919"
"0,28","-2,8104","-49,416","-1,5257","0,12909","2,2698","0,070081"
"0,3","-2,8104","-48,445","-1,6558","0,12909","2,2252","0,076057"
"0,32","-2,8104","-47,421","-1,7812","0,12909","2,1782","0,081814"
"0,34","-2,8104","-46,358","-1,9011","0,12909","2,1293","0,087324"
"0,36","-2,8104","-45,27","-2,0153","0,12909","2,0794","0,092568"
"0,38","-2,8104","-44,17","-2,1233","0,12909","2,0288","0,097529"
"0,4","-2,8104","-43,067","-2,2249","0,12909","1,9782","0,1022"
"0,42","-2,8104","-41,972","-2,32","0,12909","1,9279","0,10657"
"0,44","-2,8104","-40,892","-2,4086","0,12909","1,8783","0,11063"
"0,46","-2,8104","-39,835","-2,4905","0,12909","1,8297","0,11439"
"0,48","-2,8104","-38,806","-2,5659","0,12909","1,7825","0,11786"
"0,5","-2,8104","-37,811","-2,6349","0,12909","1,7367","0,12103"
"0,52","-2,8104","-36,853","-2,6976","0,12909","1,6927","0,12391"
"0,54","-2,8104","-35,936","-2,7543","0,12909","1,6506","0,12651"
"0,56","-2,8104","-35,063","-2,8051","0,12909","1,6105","0,12885"
"0,58","-2,8104","-34,236","-2,8504","0,12909","1,5725","0,13093"
"0,6","-2,8104","-33,455","-2,8903","0,12909","1,5367","0,13276"
"0,62","-2,8104","-32,722","-2,9252","0,12909","1,503","0,13436"
"0,64","-2,8104","-32,036","-2,9554","0,12909","1,4715","0,13575"
"0,66","-2,8104","-31,399","-2,9811","0,12909","1,4422","0,13693"
"0,68","-2,8104","-30,809","-3,0026","0,12909","1,4151","0,13792"
"0,7","-2,8104","-30,265","-3,0203","0,12909","1,3902","0,13873"
"0,72","-2,8104","-29,767","-3,0344","0,12909","1,3673","0,13938"
"0,74","-2,8104","-29,313","-3,0452","0,12909","1,3464","0,13987"
