time,set point,output,process,set point test,output test,process test
0,"-0,57087","-15,762",0,"0,026403","0,72401",0
"0,02","-0,57087","-16,7","-0,0011256","0,026403","0,76706","5,1592E-05"
"0,04","-0,57087","-17,578","-0,0042448","0,026403","0,80738","0,00019455"
"0,06","-0,57087","-18,401","-0,0090349","0,026403","0,84522","0,0004141"
"0,08","-0,57087","-19,176","-0,015223","0,026403","0,88082","0,0006977"
"0,1","-0,57087","-19,907","-0,022575","0,026403","0,91436","0,0010347"
"0,12","-0,57087","-20,596","-0,030896","0,026403","0,94602","0,0014161"
"0,14","-0,57087","-21,247","-0,040017","0,026403","0,97594","0,0018341"
"0,16","-0,57087","-21,863","-0,049795","0,026403","1,0042","0,0022823"
"0,18","-0,57087","-22,447","-0,060107","0,026403","1,031","0,0027549"
"0,2","-0,57087","-22,999","-0,070849","0,026403","1,0564","0,0032472"
"0,22","-0,57087","-23,523","-0,08193","0,026403","1,0805","0,0037551"
"0,24","-0,57087","-24,019","-0,093274","0,026403","1,1033","0,0042751"
"0,26","-0,57087","-24,49","-0,10481","0,026403","1,1249","0,004804"
"0,28","-0,57087","-24,935","-0,11649","0,026403","1,1454","0,0053392"
"0,3","-0,57087","-25,358","-0,12826","0,026403","1,1648","0,0058786"
"0,32","-0,57087","-25,758","-0,14007","0,026403","1,1831","0,0064201"
"0,34","-0,57087","-26,137","-0,1519","0,026403","1,2006","0,006962"
"0,36","-0,57087","-26,496","-0,1637","0,026403","1,217","0,0075028"
"0,38","-0,57087","-26,835","-0,17544","0,026403","1,2326","0,0080412"
"0,4","-0,57087","-27,156","-0,18712","0,026403","1,2473","0,0085762"
"0,42","-0,57087","-27,458","-0,19869","0,026403","1,2612","0,0091067"
"0,44","-0,57087","-27,744","-0,21015","0,026403","1,2743","0,0096319"
"0,46","-0,57087","-28,013","-0,22148","0,026403","1,2867","0,010151"
"0,48","-0,57087","-28,266","-0,23266","0,026403","1,2983","0,010663"
"0,5","-0,57087","-28,503","-0,24368","0,026403","1,3092","0,011169"
"0,52","-0,57087","-28,726","-0,25453","0,026403","1,3195","0,011666"
"0,54","-0,57087","-28,935","-0,2652","0,026403","1,3291","0,012155"
"0,56","-0,57087","-29,13","-0,27569","0,026403","1,338","0,012636"
"0,58","-0,57087","-29,312","-0,28598","0,026403","1,3464","0,013107"
"0,6","-0,57087","-29,482","-0,29607","0,026403","1,3542","0,01357"
"0,62","-0,57087","-29,639","-0,30596","0,026403","1,3614","0,014023"
"0,64","-0,57087","-29,785","-0,31564","0,026403","1,3681","0,014467"
"0,66","-0,57087","-29,92","-0,3251","0,026403","1,3743","0,014901"
"0,68","-0,57087","-30,045","-0,33435","0,026403","1,38","0,015325"
"0,7","-0,57087","-30,159","-0,34339","0,026403","1,3853","0,015739"
"0,72","-0,57087","-30,263","-0,3522","0,026403","1,3901","0,016143"
"0,74","-0,57087","-30,358","-0,3608","0,026403","1,3944","0,016537"
"0,76","-0,57087","-30,445","-0,36918","0,026403","1,3984","0,016921"
"0,78","-0,57087","-30,522","-0,37733","0,026403","1,402","0,017294"
"0,8","-0,57087","-30,592","-0,38527","0,026403","1,4052","0,017658"
"0,82","-0,57087","-30,653","-0,39298","0,026403","1,408","0,018012"
"0,84","-0,57087","-30,708","-0,40048","0,026403","1,4105","0,018355"
"0,86","-0,57087","-30,755","-0,40776","0,026403","1,4127","0,018689"
"0,88","-0,57087","-30,796","-0,41483","0,026403","1,4145","0,019013"
"0,9","-0,57087","-30,83","-0,42168","0,026403","1,4161","0,019327"
"0,92","-0,57087","-30,858","-0,42832","0,026403","1,4174","0,019631"
"0,94","-0,57087","-30,88","-0,43475","0,026403","1,4184","0,019926"
"0,96","-0,57087","-30,897","-0,44097","0,026403","1,4192","0,020211"
