time,set point,output
0.0,0.0,0.0
0.2,0.0,0.0
0.4,0.0,3.6734198463e-40
0.6000000000000001,2.0,32.104884843
0.8,2.0,31.478103717
1.0,2.0,30.749135391
1.2000000000000002,2.0,29.92893454
1.4000000000000001,2.0,29.028178533
1.6,2.0,28.05723016
1.8,2.0,27.026104602
2.0,2.0,25.944440542
2.2,2.0,24.821475264
2.4000000000000004,2.0,23.666023614
2.6,2.0,22.48646065
2.8000000000000003,2.0,21.290707827
3.0,2.0,20.086222543
3.2,2.0,18.879990862
3.4000000000000004,2.0,17.678523242
3.6,2.0,16.487853078
3.8000000000000003,2.0,15.313537863
4.0,2.0,14.160662796
4.2,2.0,13.033846638
4.4,2.0,11.93724963
4.6000000000000005,2.0,10.874583286
4.800000000000001,2.0,9.8491218842
5.0,2.0,8.8637154804
5.2,2.0,7.9208042534
5.4,2.0,7.0224340334
5.6000000000000005,2.0,6.1702728369
5.800000000000001,2.0,5.3656282541
6.0,2.0,4.6094655393
6.2,2.0,3.9024262563
6.4,2.0,3.2448473448
6.6000000000000005,2.0,2.6367804762
6.800000000000001,2.0,2.0780115754
7.0,2.0,1.568080396
7.2,2.0,1.1063000394
7.4,2.0,0.69177631972
7.6000000000000005,2.0,0.32342688196
7.800000000000001,2.0,0.0
8.0,5.0,47.877420171
8.200000000000001,5.0,46.699325377
8.4,5.0,45.408282197
8.6,5.0,44.018972127
8.8,5.0,42.545577885
9.0,5.0,41.00174295
9.200000000000001,5.0,39.40053676
9.4,5.0,37.754425364
9.600000000000001,5.0,36.075247308
9.8,5.0,34.374194511
10.0,5.0,32.661797891
10.200000000000001,5.0,30.947917494
10.4,5.0,29.24173685
10.600000000000001,5.0,27.551761309
10.8,5.0,25.885820077
11.0,5.0,24.251071694
11.200000000000001,5.0,22.654012682
11.4,5.0,21.100489093
11.600000000000001,5.0,19.595710701
11.8,5.0,18.144267583
12.0,5.0,16.750148819
12.200000000000001,5.0,15.416763085
12.4,5.0,14.146960886
12.600000000000001,5.0,12.9430582
12.8,5.0,11.80686131
13.0,5.0,10.73969262
13.200000000000001,5.0,9.7424172228
13.4,5.0,8.8154700665
13.600000000000001,5.0,7.9588834965
13.8,5.0,7.1723150254
14.0,5.0,6.455075158
14.200000000000001,5.0,5.806155123
14.4,5.0,5.2242543696
14.600000000000001,5.0,4.7078077015
14.8,5.0,4.2550119289
15.0,5.0,3.8638519299
15.200000000000001,5.0,3.5321260271
15.4,5.0,3.2574705889
15.600000000000001,5.0,3.0373837828
15.8,5.0,2.8692484105
16.0,5.0,2.7503537702
16.2,5.0,2.6779164963
16.400000000000002,5.0,2.6491003376
16.6,5.0,2.6610348436
16.8,5.0,2.7108329341
17.0,5.0,2.795607339
17.2,5.0,2.9124858971
17.400000000000002,5.0,3.0586257139
17.6,5.0,3.231226182
17.8,5.0,3.4275408739
18.0,5.0,3.6448883234
18.2,5.0,3.8806617135
18.400000000000002,5.0,4.1323374986
18.6,5.0,4.3974829866
18.8,5.0,4.6737629138
19.0,5.0,4.9589450482
19.200000000000003,5.0,5.2509048585
19.400000000000002,5.0,5.5476292887
19.6,5.0,5.8472196808
19.8,5.0,6.1478938892
20.0,5.0,6.4479876314
20.200000000000003,5.0,6.745955121
20.400000000000002,5.0,7.0403690295
20.6,5.0,7.329919824
20.8,5.0,7.6134145265
21.0,5.0,7.8897749432
21.200000000000003,5.0,8.158035408
21.400000000000002,5.0,8.4173400878
21.6,5.0,8.666939893
21.8,5.0,8.9061890368
22.0,5.0,9.134541287
22.200000000000003,5.0,9.3515459509
22.400000000000002,5.0,9.5568436325
22.6,5.0,9.7501618012
22.8,5.0,9.9313102079
23.0,5.0,10.100176184
23.200000000000003,5.0,10.256719855
23.400000000000002,5.0,10.400969301
23.6,5.0,10.533015697
23.8,5.0,10.653008447
24.0,5.0,10.761150361
24.200000000000003,5.0,10.857692869
24.400000000000002,5.0,10.942931324
24.6,5.0,11.017200385
24.8,5.0,11.080869524
25.0,5.0,11.134338655
25.200000000000003,5.0,11.178033901
25.400000000000002,5.0,11.212403526
25.6,5.0,11.237914023
25.8,5.0,11.25504638
