,0
0,1.6104637
1,1.6100692
2,1.60897
3,1.6072823
4,1.6051034
5,1.6025215
6,1.599604
7,1.5964135
8,1.5930027
9,1.5894164
10,1.585688
11,1.5818554
12,1.5779425
13,1.5739771
14,1.5699769
15,1.5659598
16,1.5619413
17,1.5579332
18,1.5539488
19,1.5499924
20,1.5460833
21,1.5422176
22,1.5384053
23,1.5346507
24,1.5309566
25,1.5273362
26,1.5237767
27,1.520295
28,1.5168868
29,1.5135516
30,1.5102907
31,1.5071143
32,1.5040077
33,1.5009915
34,1.498051
35,1.4951829
36,1.4924
37,1.4896933
38,1.4870642
39,1.4845117
40,1.4820462
41,1.4796411
42,1.4773239
43,1.4750787
44,1.4729038
45,1.4708027
46,1.4687687
47,1.4668123
48,1.4649104
49,1.4630862
50,1.4613253
51,1.4596292
52,1.4579989
53,1.4564279
54,1.4549164
55,1.4534646
56,1.4520758
57,1.4507321
58,1.4494485
59,1.4482197
60,1.4470423
61,1.4459137
62,1.4448348
63,1.4438087
64,1.4428271
65,1.4418873
66,1.4409908
67,1.4401416
68,1.4393309
69,1.4385597
70,1.4378299
71,1.4371351
72,1.4364775
73,1.4358481
74,1.4352628
75,1.4347075
76,1.4341806
77,1.4336888
78,1.4332207
79,1.4327911
80,1.4323791
81,1.4319962
82,1.4316427
83,1.4313117
84,1.4310001
85,1.4307104
86,1.4304479
87,1.430206
88,1.4299778
89,1.4297737
90,1.4295901
91,1.4294158
92,1.4292649
93,1.4291257
94,1.4290031
95,1.428898
96,1.4288062
97,1.4287256
98,1.4286555
99,1.4286023
100,1.4285558
101,1.4285208
102,1.4284991
103,1.4284803
104,1.4284762
105,1.4284803
106,1.4284943
107,1.428512
108,1.4285389
109,1.4285673
110,1.4286097
111,1.42865
112,1.4287008
113,1.4287542
114,1.4288191
115,1.4288753
116,1.4289466
117,1.4290158
118,1.4290894
119,1.4291664
120,1.4292473
121,1.4293288
122,1.4294158
123,1.4295026
124,1.4295901
125,1.4296755
126,1.4297692
127,1.4298576
128,1.4299484
129,1.4300398
130,1.4301354
131,1.4302262
132,1.4303216
