,0
0,-25.787685
1,-25.802588
2,-25.843826
3,-25.906973
4,-25.98822
5,-26.084282
6,-26.192387
7,-26.310144
8,-26.435513
9,-26.566738
10,-26.70233
11,-26.840965
12,-26.981518
13,-27.122923
14,-27.264385
15,-27.405035
16,-27.54404
17,-27.68092
18,-27.814821
19,-27.945145
20,-28.071606
21,-28.19339
22,-28.310238
23,-28.421701
24,-28.527359
25,-28.626938
26,-28.720192
27,-28.806929
28,-28.887077
29,-28.96047
30,-29.027143
31,-29.087172
32,-29.140617
33,-29.187593
34,-29.228361
35,-29.263163
36,-29.292183
37,-29.315784
38,-29.334251
39,-29.3479
40,-29.357098
41,-29.362171
42,-29.363476
43,-29.36135
44,-29.356123
45,-29.34813
46,-29.337685
47,-29.325089
48,-29.310633
49,-29.294567
50,-29.277185
51,-29.258669
52,-29.239279
53,-29.219185
54,-29.198591
55,-29.177675
56,-29.156565
57,-29.135355
58,-29.114283
59,-29.093327
60,-29.072647
61,-29.052343
62,-29.032402
63,-29.013006
64,-28.994064
65,-28.97569
66,-28.957945
67,-28.94081
68,-28.92433
69,-28.908487
70,-28.893305
71,-28.878752
72,-28.864912
73,-28.85174
74,-28.839193
75,-28.827288
76,-28.816027
77,-28.805422
78,-28.795362
79,-28.785913
80,-28.777075
81,-28.768726
82,-28.760946
83,-28.75372
84,-28.746996
85,-28.740705
86,-28.734922
87,-28.729578
88,-28.724737
89,-28.720213
90,-28.716127
91,-28.712418
92,-28.70909
93,-28.706072
94,-28.703434
95,-28.701109
96,-28.69904
97,-28.69728
98,-28.695776
99,-28.694582
100,-28.693579
101,-28.692888
102,-28.692324
103,-28.69201
104,-28.691885
105,-28.69195
106,-28.692202
107,-28.692638
108,-28.693201
109,-28.693893
110,-28.69471
111,-28.69571
112,-28.69678
113,-28.697971
114,-28.699228
115,-28.700674
116,-28.702114
117,-28.703684
118,-28.705254
119,-28.706953
120,-28.708712
121,-28.710535
122,-28.712353
123,-28.71424
124,-28.716127
125,-28.718077
126,-28.720085
127,-28.722097
128,-28.72411
129,-28.726122
130,-28.728134
131,-28.730207
132,-28.73222
133,-28.734293
134,-28.736372
135,-28.738379
136,-28.740393
137,-28.742407
138,-28.744417
139,-28.746428
140,-28.748379
141,-28.750328
142,-28.75221
143,-28.754158
144,-28.75598
145,-28.757866
146,-28.759687
147,-28.76145
148,-28.763205
149,-28.764963
150,-28.766657
151,-28.76829
152,-28.769922
153,-28.771553
154,-28.77312
155,-28.774628
156,-28.776133
157,-28.777575
158,-28.779016
159,-28.780397
160,-28.781713
161,-28.783026
162,-28.784346
163,-28.785599
164,-28.786789
165,-28.787977
166,-28.789104
167,-28.790232
168,-28.791296
169,-28.79236
170,-28.793362
171,-28.794302
172,-28.795237
173,-28.796177
174,-28.79705
175,-28.797926
176,-28.798738
177,-28.79949
178,-28.80024
179,-28.80099
180,-28.801678
181,-28.802364
182,-28.803053
183,-28.803675
184,-28.80424
185,-28.804796
186,-28.80536
187,-28.80586
188,-28.806358
189,-28.806864
190,-28.807299
191,-28.807732
192,-28.808172
193,-28.808542
194,-28.808918
195,-28.809294
196,-28.809605
197,-28.80992
198,-28.810228
199,-28.810478
200,-28.81079
201,-28.81104
202,-28.811228
203,-28.811478
204,-28.811663
205,-28.81185
206,-28.812038
207,-28.812225
208,-28.81235
209,-28.812536
210,-28.812662
211,-28.812786
212,-28.81291
213,-28.812973
214,-28.813097
215,-28.81316
216,-28.813223
217,-28.813284
218,-28.813345
219,-28.81341
220,-28.81347
221,-28.81347
222,-28.813532
223,-28.813532
224,-28.813532
225,-28.813597
226,-28.813597
227,-28.813597
228,-28.813597
229,-28.813597
230,-28.813532
231,-28.813532
232,-28.813532
233,-28.813532
234,-28.81347
235,-28.81347
236,-28.81341
237,-28.81341
238,-28.813345
239,-28.813345
240,-28.813284
241,-28.813223
242,-28.813223
243,-28.81316
244,-28.813097
245,-28.813036
246,-28.813036
247,-28.812973
248,-28.81291
249,-28.812847
250,-48.05873
251,-48.060673
252,-48.06582
253,-48.073223
254,-48.081905
255,-48.09096
256,-48.099567
257,-48.10699
258,-48.11259
259,-48.11588
260,-48.116447
261,-48.11399
262,-48.108295
263,-48.09924
264,-48.08672
265,-48.070797
266,-48.051464
267,-48.02886
268,-48.00314
269,-47.97444
270,-47.942944
271,-47.90889
272,-47.872498
273,-47.834064
274,-47.793743
275,-47.75191
276,-47.708637
277,-47.664333
278,-47.61912
279,-47.573273
280,-47.526966
281,-47.48039
282,-47.43385
283,-47.38735
284,-47.341206
285,-47.295364
286,-47.250217
287,-47.205616
288,-47.161823
289,-47.118923
290,-47.07692
291,-47.03596
292,-46.99602
293,-46.95714
294,-46.91937
295,-46.88283
296,-46.847466
297,-46.813206
298,-46.78015
299,-46.748325
300,-46.71756
301,-46.688114
302,-46.65974
303,-46.632523
304,-46.606365
305,-46.581364
306,-46.55741
307,-46.534508
308,-46.51256
309,-46.491734
310,-46.47176
