time;Vel. Desejada;PID;CN;A = vel_PID - vel_RNA;A²;Soma/n;
0;0,129091665;0;0;0;0,00E+00;0,00969221;0,602046892
0,02;0,129091665;0,00026644;0,00072577;-0,00045933;2,11E-07;;0,602046892
0,04;0,129091665;0,0010047;0,0026935;-0,0016888;2,85E-06;;0,602046892
0,06;0,129091665;0,0021385;0,0056232;-0,0034847;1,21E-05;;0,602046892
0,08;0,129091665;0,0036031;0,0092872;-0,0056841;3,23E-05;;0,602046892
0,1;0,129091665;0,0053435;0,0135;-0,0081565;6,65E-05;;0,602046892
0,12;0,129091665;0,0073131;0,018112;-0,0107989;1,17E-04;;0,602046892
0,14;0,129091665;0,009472;0,023003;-0,013531;1,83E-04;;0,602046892
0,16;0,129091665;0,011786;0,028073;-0,016287;2,65E-04;;0,602046892
0,18;0,129091665;0,014227;0,033245;-0,019018;3,62E-04;;0,602046892
0,2;0,129091665;0,01677;0,038456;-0,021686;4,70E-04;;0,602046892
0,22;0,129091665;0,019393;0,043657;-0,024264;5,89E-04;;0,602046892
0,24;0,129091665;0,022078;0,048807;-0,026729;7,14E-04;;0,602046892
0,26;0,129091665;0,024809;0,053877;-0,029068;8,45E-04;;0,602046892
0,28;0,129091665;0,027573;0,058843;-0,03127;9,78E-04;;0,602046892
0,3;0,129091665;0,030359;0,063686;-0,033327;1,11E-03;;0,602046892
0,32;0,129091665;0,033155;0,068395;-0,03524;1,24E-03;;0,602046892
0,34;0,129091665;0,035954;0,072958;-0,037004;1,37E-03;;0,602046892
0,36;0,129091665;0,038747;0,07737;-0,038623;1,49E-03;;0,602046892
0,38;0,129091665;0,041527;0,081627;-0,0401;1,61E-03;;0,602046892
0,4;0,129091665;0,04429;0,085726;-0,041436;1,72E-03;;0,602046892
0,42;0,129091665;0,04703;0,089668;-0,042638;1,82E-03;;0,602046892
0,44;0,129091665;0,049742;0,093452;-0,04371;1,91E-03;;0,602046892
0,46;0,129091665;0,052423;0,097082;-0,044659;1,99E-03;;0,602046892
0,48;0,129091665;0,055069;0,10056;-0,045491;2,07E-03;;0,602046892
0,5;0,129091665;0,057678;0,10389;-0,046212;2,14E-03;;0,602046892
0,52;0,129091665;0,060246;0,10707;-0,046824;2,19E-03;;0,602046892
0,54;0,129091665;0,062772;0,11011;-0,047338;2,24E-03;;0,602046892
0,56;0,129091665;0,065254;0,11301;-0,047756;2,28E-03;;0,602046892
0,58;0,129091665;0,06769;0,11578;-0,04809;2,31E-03;;0,602046892
0,6;0,129091665;0,070079;0,11842;-0,048341;2,34E-03;;0,602046892
0,62;0,129091665;0,072419;0,12093;-0,048511;2,35E-03;;0,602046892
0,64;0,129091665;0,07471;0,12333;-0,04862;2,36E-03;;0,602046892
0,66;0,129091665;0,076951;0,12561;-0,048659;2,37E-03;;0,602046892
0,68;0,129091665;0,079141;0,12777;-0,048629;2,36E-03;;0,602046892
