time;vel_PID;vel_RNA;A = vel_PID - vel_RNA;A²;
0;0;0;0;0;6,17067E-05
0,02;0,002064;0,0026989;-0,0006349;4,03098E-07;
0,04;0,0077833;0,010021;-0,0022377;5,0073E-06;
0,06;0,016566;0,020942;-0,004376;1,91494E-05;
0,08;0,027912;0,034642;-0,00673;4,52929E-05;
0,1;0,041394;0,050467;-0,009073;8,23193E-05;
0,12;0,056651;0,067898;-0,011247;0,000126495;
0,14;0,073376;0,08652;-0,013144;0,000172765;
0,16;0,091304;0,10601;-0,014706;0,000216266;
0,18;0,11021;0,1261;-0,01589;0,000252492;
0,2;0,12991;0,14661;-0,0167;0,00027889;
0,22;0,15023;0,16736;-0,01713;0,000293437;
0,24;0,17103;0,18824;-0,01721;0,000296184;
0,26;0,19219;0,20915;-0,01696;0,000287642;
0,28;0,2136;0,23002;-0,01642;0,000269616;
0,3;0,23518;0,25079;-0,01561;0,000243672;
0,32;0,25684;0,27143;-0,01459;0,000212868;
0,34;0,27852;0,29188;-0,01336;0,00017849;
0,36;0,30015;0,31214;-0,01199;0,00014376;
0,38;0,32169;0,33217;-0,01048;0,00010983;
0,4;0,3431;0,35197;-0,00887;7,86769E-05;
0,42;0,36432;0,37151;-0,00719;5,16961E-05;
0,44;0,38533;0,39078;-0,00545;2,97025E-05;
0,46;0,4061;0,40978;-0,00368;1,35424E-05;
0,48;0,4266;0,42849;-0,00189;3,5721E-06;
0,5;0,4468;0,4469;-0,0001;1E-08;
0,52;0,4667;0,46501;0,00169;2,8561E-06;
0,54;0,48627;0,4828;0,00347;1,20409E-05;
0,56;0,5055;0,50026;0,00524;2,74576E-05;
0,58;0,52437;0,5174;0,00697;4,85809E-05;
0,6;0,54287;0,53419;0,00868;7,53424E-05;
0,62;0,561;0,55064;0,01036;0,00010733;
0,64;0,57875;0,56674;0,01201;0,00014424;
0,66;0,59611;0,58248;0,01363;0,000185777;
0,68;0,61307;0,59785;0,01522;0,000231648;
0,7;0,62963;0,61285;0,01678;0,000281568;
0,72;0,6458;0,62748;0,01832;0,000335622;
0,74;0,66156;0,64173;0,01983;0,000393229;
0,76;0,67692;0,6556;0,02132;0,000454542;
0,78;0,69187;0,66908;0,02279;0,000519384;
0,8;0,70642;0,68219;0,02423;0,000587093;
0,82;0,72057;0,6949;0,02567;0,000658949;
