time;PID;CN;Vel. Desejada;A;A²;MSE;%
0;0;0;1;0;0;0,000437451;-1,74%
0,02;0,002064;0,0041733;1;-0,0021093;4,45E-06;;
0,04;0,0077833;0,015489;1;-0,0077057;5,94E-05;;
0,06;0,016566;0,032342;1;-0,015776;0,000248882;;
0,08;0,027912;0,053428;1;-0,025516;0,000651066;;
0,1;0,041394;0,077691;1;-0,036297;0,001317472;;
0,12;0,056651;0,10428;1;-0,047629;0,002268522;;
0,14;0,073376;0,1325;1;-0,059124;0,003495647;;
0,16;0,091304;0,16179;1;-0,070486;0,004968276;;
0,18;0,11021;0,19172;1;-0,08151;0,00664388;;
0,2;0,12991;0,22193;1;-0,09202;0,00846768;;
0,22;0,15023;0,25214;1;-0,10191;0,010385648;;
0,24;0,17103;0,28211;1;-0,11108;0,012338766;;
0,26;0,19219;0,31169;1;-0,1195;0,01428025;;
0,28;0,2136;0,34072;1;-0,12712;0,016159494;;
0,3;0,23518;0,36912;1;-0,13394;0,017939924;;
0,32;0,25684;0,39679;1;-0,13995;0,019586003;;
0,34;0,27852;0,42369;1;-0,14517;0,021074329;;
0,36;0,30015;0,44977;1;-0,14962;0,022386144;;
0,38;0,32169;0,47501;1;-0,15332;0,023507022;;
0,4;0,3431;0,4994;1;-0,1563;0,02442969;;
0,42;0,36432;0,52292;1;-0,1586;0,02515396;;
0,44;0,38533;0,54557;1;-0,16024;0,025676858;;
0,46;0,4061;0,56737;1;-0,16127;0,026008013;;
0,48;0,4266;0,58832;1;-0,16172;0,026153358;;
0,5;0,4468;0,60844;1;-0,16164;0,02612749;;
0,52;0,4667;0,62774;1;-0,16104;0,025933882;;
0,54;0,48627;0,64625;1;-0,15998;0,0255936;;
0,56;0,5055;0,66398;1;-0,15848;0,02511591;;
0,58;0,52437;0,68096;1;-0,15659;0,024520428;;
0,6;0,54287;0,69721;1;-0,15434;0,023820836;;
0,62;0,561;0,71274;1;-0,15174;0,023025028;;
0,64;0,57875;0,72759;1;-0,14884;0,022153346;;
0,66;0,59611;0,74178;1;-0,14567;0,021219749;;
0,68;0,61307;0,75532;1;-0,14225;0,020235063;;
0,7;0,62963;0,76825;1;-0,13862;0,019215504;;
0,72;0,6458;0,78058;1;-0,13478;0,018165648;;
0,74;0,66156;0,79235;1;-0,13079;0,017106024;;
0,76;0,67692;0,80356;1;-0,12664;0,01603769;;
0,78;0,69187;0,81424;1;-0,12237;0,014974417;;
0,8;0,70642;0,82442;1;-0,118;0,013924;;
0,82;0,72057;0,83411;1;-0,11354;0,012891332;;
0,84;0,73432;0,84333;1;-0,10901;0,01188318;;
0,86;0,74767;0,85211;1;-0,10444;0,010907714;;
0,88;0,76062;0,86046;1;-0,09984;0,009968026;;
0,9;0,77318;0,86839;1;-0,09521;0,009064944;;
0,92;0,78536;0,87593;1;-0,09057;0,008202925;;
0,94;0,79715;0,8831;1;-0,08595;0,007387402;;
0,96;0,80856;0,88991;1;-0,08135;0,006617823;;
0,98;0,81959;0,89638;1;-0,07679;0,005896704;;
1;0,83025;0,90251;1;-0,07226;0,005221508;;
1,02;0,84055;0,90834;1;-0,06779;0,004595484;;
1,04;0,85049;0,91387;1;-0,06338;0,004017024;;
1,06;0,86008;0,91911;1;-0,05903;0,003484541;;
1,08;0,86932;0,92408;1;-0,05476;0,002998658;;
1,1;0,87822;0,92879;1;-0,05057;0,002557325;;
1,12;0,88679;0,93326;1;-0,04647;0,002159461;;
1,14;0,89502;0,93749;1;-0,04247;0,001803701;;
1,16;0,90294;0,9415;1;-0,03856;0,001486874;;
1,18;0,91054;0,94529;1;-0,03475;0,001207563;;
1,2;0,91784;0,94888;1;-0,03104;0,000963482;;
1,22;0,92483;0,95229;1;-0,02746;0,000754052;;
1,24;0,93153;0,95551;1;-0,02398;0,00057504;;
1,26;0,93794;0,95855;1;-0,02061;0,000424772;;
1,28;0,94408;0,96143;1;-0,01735;0,000301022;;
1,3;0,94994;0,96416;1;-0,01422;0,000202208;;
1,32;0,95553;0,96673;1;-0,0112;0,00012544;;
1,34;0,96087;0,96917;1;-0,0083;6,89E-05;;
1,36;0,96596;0,97147;1;-0,00551;3,04E-05;;
1,38;0,9708;0,97365;1;-0,00285;8,12E-06;;
1,4;0,9754;0,9757;1;-0,0003;9,00E-08;;
1,42;0,97977;0,97765;1;0,00212;4,49E-06;;
1,44;0,98392;0,97948;1;0,00444;1,97E-05;;
1,46;0,98785;0,98121;1;0,00664;4,41E-05;;
1,48;0,99157;0,98285;1;0,00872;7,60E-05;;
1,5;0,99509;0,98439;1;0,0107;0,00011449;;
1,52;0,99841;0,98585;1;0,01256;0,000157754;;
1,54;1,0015;0,98723;1;0,01427;0,000203633;;
1,56;1,0045;0,98853;1;0,01597;0,000255041;;
1,58;1,0072;0,98976;1;0,01744;0,000304154;;
1,6;1,0098;0,99092;1;0,01888;0,000356454;;
1,62;1,0123;0,99201;1;0,02029;0,000411684;;
1,64;1,0145;0,99305;1;0,02145;0,000460102;;
1,66;1,0167;0,99402;1;0,02268;0,000514382;;
1,68;1,0186;0,99494;1;0,02366;0,000559796;;
1,7;1,0204;0,99581;1;0,02459;0,000604668;;
1,72;1,0221;0,99663;1;0,02547;0,000648721;;
1,74;1,0237;0,99741;1;0,02629;0,000691164;;
1,76;1,0251;0,99814;1;0,02696;0,000726842;;
1,78;1,0264;0,99883;1;0,02757;0,000760105;;
1,8;1,0276;0,99949;1;0,02811;0,000790172;;
1,82;1,0287;1,0001;1;0,0286;0,00081796;;
1,84;1,0297;1,0007;1;0,029;0,000841;;
1,86;1,0305;1,0012;1;0,0293;0,00085849;;
1,88;1,0313;1,0018;1;0,0295;0,00087025;;
1,9;1,032;1,0023;1;0,0297;0,00088209;;
1,92;1,0326;1,0027;1;0,0299;0,00089401;;
1,94;1,0331;1,0032;1;0,0299;0,00089401;;
1,96;1,0336;1,0036;1;0,03;0,0009;;
1,98;1,0339;1,004;1;0,0299;0,00089401;;
2;1,0342;1,0044;1;0,0298;0,00088804;;
2,02;1,0344;1,0048;1;0,0296;0,00087616;;
2,04;1,0346;1,0051;1;0,0295;0,00087025;;
2,06;1,0347;1,0054;1;0,0293;0,00085849;;
2,08;1,0347;1,0057;1;0,029;0,000841;;
2,1;1,0347;1,006;1;0,0287;0,00082369;;
2,12;1,0346;1,0063;1;0,0283;0,00080089;;
2,14;1,0345;1,0066;1;0,0279;0,00077841;;
2,16;1,0343;1,0069;1;0,0274;0,00075076;;
2,18;1,0341;1,0071;1;0,027;0,000729;;
2,2;1,0339;1,0073;1;0,0266;0,00070756;;
2,22;1,0336;1,0076;1;0,026;0,000676;;
2,24;1,0333;1,0078;1;0,0255;0,00065025;;
2,26;1,0329;1,008;1;0,0249;0,00062001;;
2,28;1,0325;1,0082;1;0,0243;0,00059049;;
2,3;1,0321;1,0084;1;0,0237;0,00056169;;
2,32;1,0317;1,0086;1;0,0231;0,00053361;;
2,34;1,0313;1,0088;1;0,0225;0,00050625;;
2,36;1,0308;1,009;1;0,0218;0,00047524;;
2,38;1,0303;1,0091;1;0,0212;0,00044944;;
2,4;1,0298;1,0093;1;0,0205;0,00042025;;
2,42;1,0293;1,0095;1;0,0198;0,00039204;;
2,44;1,0287;1,0096;1;0,0191;0,00036481;;
2,46;1,0282;1,0098;1;0,0184;0,00033856;;
2,48;1,0276;1,0099;1;0,0177;0,00031329;;
2,5;1,027;1,0101;1;0,0169;0,00028561;;
2,52;1,0265;1,0102;1;0,0163;0,00026569;;
2,54;1,0259;1,0104;1;0,0155;0,00024025;;
2,56;1,0253;1,0105;1;0,0148;0,00021904;;
2,58;1,0247;1,0107;1;0,014;0,000196;;
2,6;1,0241;1,0108;1;0,0133;0,00017689;;
2,62;1,0235;1,0109;1;0,0126;0,00015876;;
2,64;1,0229;1,011;1;0,0119;0,00014161;;
2,66;1,0223;1,0112;1;0,0111;0,00012321;;
2,68;1,0217;1,0113;1;0,0104;0,00010816;;
2,7;1,0211;1,0114;1;0,0097;9,41E-05;;
2,72;1,0205;1,0115;1;0,009;8,10E-05;;
2,74;1,02;1,0117;1;0,0083;6,89E-05;;
2,76;1,0194;1,0118;1;0,0076;5,78E-05;;
2,78;1,0188;1,0119;1;0,0069;4,76E-05;;
2,8;1,0182;1,012;1;0,0062;3,84E-05;;
2,82;1,0176;1,0121;1;0,0055;3,03E-05;;
2,84;1,0171;1,0122;1;0,0049;2,40E-05;;
2,86;1,0165;1,0123;1;0,0042;1,76E-05;;
2,88;1,016;1,0125;1;0,0035;1,23E-05;;
2,9;1,0154;1,0126;1;0,0028;7,84E-06;;
2,92;1,0149;1,0127;1;0,0022;4,84E-06;;
2,94;1,0144;1,0128;1;0,0016;2,56E-06;;
2,96;1,0139;1,0129;1;0,001;1,00E-06;;
2,98;1,0134;1,013;1;0,0004;1,60E-07;;
3;1,0129;1,0131;1;-0,0002;4,00E-08;;
3,02;1,0124;1,0132;1;-0,0008;6,40E-07;;
3,04;1,0119;1,0133;1;-0,0014;1,96E-06;;
3,06;1,0115;1,0134;1;-0,0019;3,61E-06;;
3,08;1,011;1,0135;1;-0,0025;6,25E-06;;
3,1;1,0105;1,0136;1;-0,0031;9,61E-06;;
3,12;1,0101;1,0137;1;-0,0036;1,30E-05;;
3,14;1,0097;1,0138;1;-0,0041;1,68E-05;;
3,16;1,0093;1,0139;1;-0,0046;2,12E-05;;
3,18;1,0089;1,0139;1;-0,005;2,50E-05;;
3,2;1,0085;1,014;1;-0,0055;3,03E-05;;
3,22;1,0081;1,0141;1;-0,006;3,60E-05;;
3,24;1,0077;1,0142;1;-0,0065;4,23E-05;;
3,26;1,0073;1,0143;1;-0,007;4,90E-05;;
3,28;1,007;1,0144;1;-0,0074;5,48E-05;;
3,3;1,0066;1,0145;1;-0,0079;6,24E-05;;
3,32;1,0063;1,0145;1;-0,0082;6,72E-05;;
3,34;1,006;1,0146;1;-0,0086;7,40E-05;;
3,36;1,0057;1,0147;1;-0,009;8,10E-05;;
3,38;1,0054;1,0148;1;-0,0094;8,84E-05;;
3,4;1,0051;1,0149;1;-0,0098;9,60E-05;;
3,42;1,0048;1,0149;1;-0,0101;0,00010201;;
3,44;1,0045;1,015;1;-0,0105;0,00011025;;
3,46;1,0042;1,0151;1;-0,0109;0,00011881;;
3,48;1,004;1,0152;1;-0,0112;0,00012544;;
3,5;1,0037;1,0152;1;-0,0115;0,00013225;;
3,52;1,0035;1,0153;1;-0,0118;0,00013924;;
3,54;1,0033;1,0154;1;-0,0121;0,00014641;;
3,56;1,003;1,0154;1;-0,0124;0,00015376;;
3,58;1,0028;1,0155;1;-0,0127;0,00016129;;
3,6;1,0026;1,0156;1;-0,013;0,000169;;
3,62;1,0024;1,0156;1;-0,0132;0,00017424;;
3,64;1,0022;1,0157;1;-0,0135;0,00018225;;
3,66;1,002;1,0158;1;-0,0138;0,00019044;;
3,68;1,0019;1,0158;1;-0,0139;0,00019321;;
3,7;1,0017;1,0159;1;-0,0142;0,00020164;;
3,72;1,0015;1,0159;1;-0,0144;0,00020736;;
