time;RNA;PID;A;A²;;%;
0;11,34055679;5,6086;5,73195679;32,85532864;0,077817831;-1,74%;
0,02;11,33987392;5,9421;5,39777392;29,13596329;;;
0,04;11,33792653;6,2544;5,08352653;25,84224198;;;
0,06;11,33477838;6,5476;4,78717838;22,91707684;;;
0,08;11,33043053;6,8233;4,50713053;20,31422561;;;
0,1;11,32485363;7,0832;4,24165363;17,99162552;;;
0,12;11,31800837;7,3284;3,98960837;15,91697495;;;
0,14;11,30985933;7,5602;3,74965933;14,05994509;;;
0,16;11,30037966;7,7794;3,52097966;12,39729777;;;
0,18;11,28955663;7,987;3,30255663;10,90688029;;;
0,2;11,27740004;8,1836;3,09380004;9,571598688;;;
0,22;11,26391795;8,3699;2,89401795;8,375339895;;;
0,24;11,24915194;8,5465;2,70265194;7,304327509;;;
0,26;11,23314202;8,7139;2,51924202;6,346580355;;;
0,28;11,21594324;8,8725;2,34344324;5,491726219;;;
0,3;11,19763219;9,0229;2,17473219;4,729460098;;;
0,32;11,17826878;9,1654;2,01286878;4,051640725;;;
0,34;11,15794591;9,3002;1,85774591;3,451219866;;;
0,36;11,13674141;9,4279;1,70884141;2,920138965;;;
0,38;11,11474303;9,5486;1,56614303;2,45280399;;;
0,4;11,09204759;9,6626;1,42944759;2,043320413;;;
0,42;11,06873699;9,7703;1,29843699;1,685938617;;;
0,44;11,04489741;9,8718;1,17309741;1,376157533;;;
0,46;11,02063093;9,9675;1,05313093;1,109084756;;;
0,48;10,99601871;10,057;0,93901871;0,881756138;;;
0,5;10,97114283;10,142;0,82914283;0,687477833;;;
0,52;10,94608581;10,221;0,72508581;0,525749432;;;
0,54;10,92091674;10,296;0,62491674;0,390520932;;;
0,56;10,89573058;10,365;0,53073058;0,281674949;;;
0,58;10,87058069;10,43;0,44058069;0,194111344;;;
0,6;10,84554571;10,49;0,35554571;0,126412752;;;
0,62;10,82067423;10,546;0,27467423;0,075445933;;;
0,64;10,79602615;10,598;0,19802615;0,039214356;;;
0,66;10,77164427;10,646;0,12564427;0,015786483;;;
0,68;10,74759772;10,691;0,05659772;0,003203302;;;
0,7;10,72390895;10,731;-0,00709105;5,0283E-05;;;
0,72;10,70061178;10,768;-0,06738822;0,004541172;;;
0,74;10,67776714;10,802;-0,12423286;0,015433804;;;
0,76;10,65538835;10,833;-0,17761165;0,031545898;;;
0,78;10,63348559;10,86;-0,22651441;0,051308778;;;
0,8;10,61211181;10,885;-0,27288819;0,074467964;;;
0,82;10,591272;10,907;-0,315728;0,09968417;;;
0,84;10,57096856;10,926;-0,35503144;0,126047323;;;
0,86;10,55123212;10,943;-0,39176788;0,153482072;;;
0,88;10,53206066;10,958;-0,42593934;0,181424321;;;
0,9;10,51346545;10,97;-0,45653455;0,208423795;;;
0,92;10,49544063;10,98;-0,48455937;0,234797783;;;
0,94;10,47800928;10,988;-0,50999072;0,260090534;;;
0,96;10,46114706;10,994;-0,53285294;0,283932256;;;
0,98;10,44487415;10,998;-0,55312585;0,305948206;;;
1;10,42916366;11;-0,57083634;0,325854127;;;
1,02;10,41403339;11,001;-0,58696661;0,344529801;;;
1,04;10,39945451;11,001;-0,60154549;0,361856977;;;
1,06;10,38544289;10,998;-0,61255711;0,375226213;;;
1,08;10,37195316;10,995;-0,62304684;0,388187365;;;
1,1;10,35901487;10,99;-0,63098513;0,398142234;;;
1,12;10,34659669;10,984;-0,63740331;0,40628298;;;
1,14;10,33469694;10,977;-0,64230306;0,412553221;;;
1,16;10,32329862;10,969;-0,64570138;0,416930272;;;
1,18;10,31239932;10,96;-0,64760068;0,419386641;;;
1,2;10,30196678;10,949;-0,64703322;0,418651988;;;
1,22;10,29199828;10,939;-0,64700172;0,418611226;;;
1,24;10,28247621;10,927;-0,64452379;0,415410916;;;
1,26;10,27339757;10,915;-0,64160243;0,411653678;;;
1,28;10,26474467;10,902;-0,63725533;0,406094356;;;
1,3;10,25651443;10,888;-0,63148557;0,398774025;;;
1,32;10,24867472;10,874;-0,62532528;0,391031706;;;
1,34;10,24122261;10,859;-0,61777739;0,381648904;;;
1,36;10,23415513;10,844;-0,60984487;0,371910765;;;
1,38;10,22744066;10,829;-0,60155934;0,36187364;;;
1,4;10,22107649;10,813;-0,59192351;0,350373442;;;
1,42;10,21505996;10,797;-0,58194004;0,33865421;;;
1,44;10,20936003;10,781;-0,57163997;0,326772255;;;
1,46;10,20397435;10,764;-0,56002565;0,313628729;;;
1,48;10,19888651;10,748;-0,54911349;0,301525625;;;
1,5;10,19410845;10,731;-0,53689155;0,288252536;;;
1,52;10,1895959;10,714;-0,5244041;0,27499966;;;
1,54;10,18534704;10,697;-0,51165296;0,261788751;;;
1,56;10,18137415;10,68;-0,49862585;0,248627738;;;
1,58;10,17763363;10,663;-0,48536637;0,235580513;;;
1,6;10,1741519;10,646;-0,4718481;0,222640629;;;
1,62;10,17088581;10,629;-0,45811419;0,209868611;;;
1,64;10,16784801;10,612;-0,44415199;0,19727099;;;
1,66;10,16500963;10,595;-0,42999037;0,184891718;;;
1,68;10,16238348;10,578;-0,41561652;0,172737092;;;
1,7;10,15995476;10,562;-0,40204524;0,161640375;;;
1,72;10,15770884;10,545;-0,38729116;0,149994443;;;
1,74;10,15564493;10,529;-0,37335507;0,139394008;;;
1,76;10,15373488;10,512;-0,35826512;0,128353896;;;
1,78;10,15200555;10,496;-0,34399445;0,118332182;;;
1,8;10,15042893;10,481;-0,33057107;0,109277232;;;
1,82;10,14899087;10,465;-0,31600913;0,09986177;;;
1,84;10,14770464;10,45;-0,30229536;0,091382485;;;
1,86;10,14654253;10,435;-0,28845747;0,083207712;;;
1,88;10,1455179;10,42;-0,2744821;0,075340423;;;
1,9;10,14461682;10,405;-0,26038318;0,0677994;;;
1,92;10,14383906;10,391;-0,24716094;0,06108853;;;
1,94;10,14315716;10,376;-0,23284284;0,054215788;;;
1,96;10,14258461;10,363;-0,22041539;0,048582944;;;
1,98;10,14212129;10,349;-0,20687871;0,042798801;;;
2;10,14173984;10,336;-0,19426016;0,03773701;;;
2,02;10,14145382;10,323;-0,18154618;0,032959015;;;
2,04;10,14124955;10,31;-0,16875045;0,028476714;;;
2,06;10,14112701;10,298;-0,15687299;0,024609135;;;
2,08;10,14108616;10,285;-0,14391384;0,020711193;;;
2,1;10,14111339;10,274;-0,13288661;0,017658851;;;
2,12;10,1412087;10,262;-0,1207913;0,014590538;;;
2,14;10,14135849;10,251;-0,10964151;0,012021261;;;
2,16;10,14157639;10,24;-0,09842361;0,009687207;;;
2,18;10,14184881;10,229;-0,08715119;0,00759533;;;
2,2;10,14217579;10,219;-0,07682421;0,005901959;;;
2,22;10,14254373;10,209;-0,06645627;0,004416436;;;
