,time,set point,output,process,set point test,output test,process test
0,0,0,0,0,0,0,0
1,"0,02",0,0,0,0,0,0
2,"0,04",0,0,0,0,0,0
3,"0,06",0,0,0,0,0,0
4,"0,08",0,0,0,0,0,0
5,"0,1",0,0,0,0,0,0
6,"0,12",0,0,0,0,0,0
7,"0,14",0,0,0,0,0,0
8,"0,16",0,0,0,0,0,0
9,"0,18",0,0,0,0,0,0
10,"0,2",0,0,0,0,0,0
11,"0,22",0,0,0,0,0,0
12,"0,24",0,0,0,0,0,0
13,"0,26",0,0,0,0,0,0
14,"0,28",0,0,0,0,0,0
15,"0,3",0,0,0,0,0,0
16,"0,32",0,0,0,0,0,0
17,"0,34",0,0,0,0,0,0
18,"0,36",0,0,0,0,0,0
19,"0,38",0,0,0,0,0,0
20,"0,4",0,0,0,0,0,0
21,"0,42",0,0,0,0,0,0
22,"0,44",0,0,0,0,0,0
23,"0,46",0,0,0,0,0,0
24,"0,48",0,0,0,0,0,0
25,"0,5",0,0,0,0,0,0
26,"0,52",0,0,0,0,0,0
27,"0,54",0,0,0,0,0,0
28,"0,56",0,0,0,0,0,0
29,"0,58",0,0,0,0,0,0
30,"0,6",0,0,0,0,0,0
31,"0,62",0,0,0,0,0,0
32,"0,64",0,0,0,0,0,0
33,"0,66",0,0,0,0,0,0
34,"0,68",0,0,0,0,0,0
35,"0,7",0,0,0,0,0,0
36,"0,72",0,0,0,0,0,0
37,"0,74",0,0,0,0,0,0
38,"0,76",0,0,0,0,0,0
39,"0,78",0,0,0,0,0,0
40,"0,8",0,0,0,0,0,0
41,"0,82",0,0,0,0,0,0
42,"0,84",0,0,0,0,0,0
43,"0,86",0,0,0,0,0,0
44,"0,88",0,0,0,0,0,0
45,"0,9",0,0,0,0,0,0
46,"0,92",0,0,0,0,0,0
47,"0,94",0,0,0,0,0,0
48,"0,960000000000001",0,0,0,0,0,0
49,"0,98",0,0,0,0,0,0
50,1,2,"31,414","0,01161",0,0,0
51,"1,02",2,"33,213","0,043654",0,0,0
52,"1,04",2,"34,659","0,09269",0,0,0
53,"1,06",2,"35,788","0,15566",0,0,0
54,"1,08",2,"36,631","0,22983",0,0,0
55,"1,1",2,"37,221","0,31279",0,0,0
56,"1,12",2,"37,585","0,40242",0,0,0
57,"1,14",2,"37,75","0,49683",0,0,0
58,"1,16",2,"37,741","0,5944",0,0,0
59,"1,18",2,"37,579","0,69368",0,0,0
60,"1,2",2,"37,286","0,79344",0,0,0
61,"1,22",2,"36,882","0,89263",0,0,0
62,"1,24",2,"36,383","0,99033",0,0,0
63,"1,26",2,"35,806","1,0858",0,0,0
64,"1,28",2,"35,165","1,1784",0,0,0
65,"1,3",2,"34,475","1,2675",0,0,0
66,"1,32",2,"33,746","1,3529",0,0,0
67,"1,34",2,"32,99","1,4341",0,0,0
68,"1,36",2,"32,216","1,511",0,0,0
69,"1,38",2,"31,433","1,5833",0,0,0
70,"1,4",2,"30,648","1,651",0,0,0
71,"1,42",2,"29,869","1,714",0,0,0
72,"1,44",2,"29,101","1,7723",0,0,0
73,"1,46",2,"28,349","1,8259",0,0,0
74,"1,48",2,"27,616","1,875",0,0,0
75,"1,5",2,"26,908","1,9196",0,0,0
76,"1,52",2,"26,227","1,96",0,0,0
77,"1,54",2,"25,575","1,9962",0,0,0
78,"1,56",2,"24,953","2,0284",0,0,0
79,"1,58",2,"24,364","2,0568",0,0,0
80,"1,6",2,"23,809","2,0816",0,0,0
81,"1,62",2,"23,287","2,1031",0,0,0
82,"1,64",2,"22,799","2,1214",0,0,0
83,"1,66",2,"22,346","2,1367",0,0,0
84,"1,68",2,"21,926","2,1493",0,0,0
85,"1,7",2,"21,539","2,1593",0,0,0
86,"1,72",2,"21,185","2,1671",0,0,0
87,"1,74",2,"20,862","2,1726",0,0,0
88,"1,76",2,"20,569","2,1763",0,0,0
89,"1,78",2,"20,305","2,1782",0,0,0
90,"1,8",2,"20,069","2,1786",0,0,0
91,"1,82",2,"19,86","2,1776",0,0,0
92,"1,84",2,"19,676","2,1753",0,0,0
93,"1,86",2,"19,516","2,172",0,0,0
94,"1,88",2,"19,377","2,1677",0,0,0
95,"1,9",2,"19,26","2,1627",0,0,0
96,"1,92",2,"19,161","2,157",0,0,0
97,"1,94",2,"19,081","2,1507",0,0,0
98,"1,96",2,"19,017","2,1441",0,0,0
99,"1,98",2,"18,967","2,1371",0,0,0
100,2,2,"18,932","2,1298",0,0,0
101,"2,02",2,"18,909","2,1224",0,0,0
102,"2,04",2,"18,897","2,1149",0,0,0
103,"2,06",2,"18,895","2,1074",0,0,0
104,"2,08",2,"18,902","2,1",0,0,0
105,"2,1",2,"18,917","2,0926",0,0,0
106,"2,12",2,"18,938","2,0853",0,0,0
107,"2,14",2,"18,966","2,0783",0,0,0
108,"2,16",2,"18,998","2,0714",0,0,0
109,"2,18",2,"19,034","2,0648",0,0,0
110,"2,2",2,"19,074","2,0585",0,0,0
111,"2,22",2,"19,117","2,0524",0,0,0
112,"2,24",2,"19,161","2,0467",0,0,0
113,"2,26",2,"19,207","2,0412",0,0,0
114,"2,28",2,"19,254","2,036",0,0,0
115,"2,3",2,"19,302","2,0312",0,0,0
116,"2,32",2,"19,349","2,0267",0,0,0
117,"2,34",2,"19,397","2,0225",0,0,0
118,"2,36",2,"19,443","2,0186",0,0,0
119,"2,38",2,"19,489","2,015",0,0,0
120,"2,4",2,"19,533","2,0117",0,0,0
121,"2,42",2,"19,577","2,0087",0,0,0
122,"2,44",2,"19,618","2,006",0,0,0
123,"2,46",2,"19,658","2,0035",0,0,0
124,"2,48",2,"19,696","2,0013",0,0,0
125,"2,5",2,"19,732","1,9994",0,0,0
126,"2,52",2,"19,767","1,9977",0,0,0
127,"2,54",2,"19,799","1,9961",0,0,0
128,"2,56",2,"19,829","1,9948",0,0,0
129,"2,58",2,"19,858","1,9937",0,0,0
130,"2,6",2,"19,884","1,9928",0,0,0
131,"2,62",2,"19,908","1,992",0,0,0
132,"2,64",2,"19,931","1,9914",0,0,0
133,"2,66",2,"19,951","1,9909",0,0,0
134,"2,68",2,"19,97","1,9905",0,0,0
135,"2,7",2,"19,987","1,9903",0,0,0
136,"2,72",2,"20,002","1,9902",0,0,0
137,"2,74",2,"20,016","1,9901",0,0,0
138,"2,76",2,"20,028","1,9901",0,0,0
139,"2,78",2,"20,038","1,9902",0,0,0
140,"2,8",2,"20,048","1,9904",0,0,0
141,"2,82",2,"20,056","1,9906",0,0,0
142,"2,84",2,"20,062","1,9909",0,0,0
143,"2,86",2,"20,068","1,9912",0,0,0
144,"2,88",2,"20,073","1,9916",0,0,0
145,"2,9",2,"20,076","1,9919",0,0,0
146,"2,92",2,"20,079","1,9923",0,0,0
147,"2,94",2,"20,081","1,9927",0,0,0
148,"2,96",2,"20,083","1,9931",0,0,0
