time,set point,output,process,set point test,output test,process test
0,"-0,57087","-15,762",0,"0,02768","0,72401",0
"0,02","-0,57087","-16,7","-0,0011256","0,02768","0,76707","5,5739E-05"
"0,04","-0,57087","-17,578","-0,0042448","0,02768","0,80738","0,00021019"
"0,06","-0,57087","-18,401","-0,009035","0,02768","0,84523","0,00044739"
"0,08","-0,57087","-19,176","-0,015223","0,02768","0,88082","0,00075378"
"0,1","-0,57087","-19,907","-0,022576","0,02768","0,91437","0,0011179"
"0,12","-0,57087","-20,596","-0,030896","0,02768","0,94602","0,0015299"
"0,14","-0,57087","-21,247","-0,040017","0,02768","0,97594","0,0019816"
"0,16","-0,57087","-21,863","-0,049795","0,02768","1,0042","0,0024657"
"0,18","-0,57087","-22,447","-0,060107","0,02768","1,031","0,0029764"
"0,2","-0,57087","-22,999","-0,070849","0,02768","1,0564","0,0035083"
"0,22","-0,57087","-23,523","-0,08193","0,02768","1,0805","0,004057"
"0,24","-0,57087","-24,019","-0,093274","0,02768","1,1033","0,0046187"
"0,26","-0,57087","-24,49","-0,10481","0,02768","1,1249","0,0051901"
"0,28","-0,57087","-24,935","-0,11649","0,02768","1,1454","0,0057684"
"0,3","-0,57087","-25,358","-0,12826","0,02768","1,1648","0,0063511"
"0,32","-0,57087","-25,758","-0,14007","0,02768","1,1832","0,0069361"
"0,34","-0,57087","-26,137","-0,1519","0,02768","1,2006","0,0075216"
"0,36","-0,57087","-26,496","-0,1637","0,02768","1,217","0,0081058"
"0,38","-0,57087","-26,835","-0,17545","0,02768","1,2326","0,0086876"
"0,4","-0,57087","-27,156","-0,18712","0,02768","1,2473","0,0092655"
"0,42","-0,57087","-27,459","-0,19869","0,02768","1,2612","0,0098387"
"0,44","-0,57087","-27,744","-0,21015","0,02768","1,2743","0,010406"
"0,46","-0,57087","-28,013","-0,22148","0,02768","1,2867","0,010967"
"0,48","-0,57087","-28,266","-0,23266","0,02768","1,2983","0,011521"
"0,5","-0,57087","-28,503","-0,24368","0,02768","1,3092","0,012066"
"0,52","-0,57087","-28,726","-0,25453","0,02768","1,3195","0,012604"
"0,54","-0,57087","-28,935","-0,2652","0,02768","1,3291","0,013132"
"0,56","-0,57087","-29,13","-0,27569","0,02768","1,338","0,013651"
"0,58","-0,57087","-29,312","-0,28598","0,02768","1,3464","0,014161"
"0,6","-0,57087","-29,482","-0,29607","0,02768","1,3542","0,014661"
"0,62","-0,57087","-29,639","-0,30596","0,02768","1,3614","0,01515"
"0,64","-0,57087","-29,785","-0,31564","0,02768","1,3681","0,01563"
"0,66","-0,57087","-29,92","-0,3251","0,02768","1,3743","0,016098"
"0,68","-0,57087","-30,045","-0,33435","0,02768","1,38","0,016556"
"0,7","-0,57087","-30,159","-0,34339","0,02768","1,3853","0,017004"
"0,72","-0,57087","-30,263","-0,3522","0,02768","1,3901","0,01744"
"0,74","-0,57087","-30,358","-0,3608","0,02768","1,3944","0,017866"
"0,76","-0,57087","-30,445","-0,36918","0,02768","1,3984","0,018281"
"0,78","-0,57087","-30,522","-0,37733","0,02768","1,402","0,018685"
"0,8","-0,57087","-30,592","-0,38527","0,02768","1,4052","0,019077"
"0,82","-0,57087","-30,653","-0,39298","0,02768","1,408","0,01946"
"0,84","-0,57087","-30,708","-0,40048","0,02768","1,4105","0,019831"
"0,86","-0,57087","-30,755","-0,40776","0,02768","1,4127","0,020191"
"0,88","-0,57087","-30,796","-0,41483","0,02768","1,4145","0,020541"
"0,9","-0,57087","-30,83","-0,42168","0,02768","1,4161","0,02088"
"0,92","-0,57087","-30,858","-0,42832","0,02768","1,4174","0,021209"
"0,94","-0,57087","-30,88","-0,43475","0,02768","1,4184","0,021527"
"0,96","-0,57087","-30,897","-0,44097","0,02768","1,4192","0,021836"
"0,98","-0,57087","-30,909","-0,44699","0,02768","1,4197","0,022134"
1,"-0,57087","-30,916","-0,4528","0,02768","1,42","0,022422"
"1,02","-0,57087","-30,918","-0,45842","0,02768","1,4201","0,0227"
"1,04","-0,57087","-30,916","-0,46384","0,02768","1,42","0,022968"
"1,06","-0,57087","-30,91","-0,46907","0,02768","1,4198","0,023227"
"1,08","-0,57087","-30,9","-0,47411","0,02768","1,4193","0,023477"
"1,1","-0,57087","-30,886","-0,47896","0,02768","1,4187","0,023717"
"1,12","-0,57087","-30,869","-0,48363","0,02768","1,4179","0,023948"
"1,14","-0,57087","-30,849","-0,48813","0,02768","1,417","0,024171"
"1,16","-0,57087","-30,826","-0,49244","0,02768","1,4159","0,024385"
"1,18","-0,57087","-30,801","-0,49659","0,02768","1,4148","0,02459"
"1,2","-0,57087","-30,772","-0,50057","0,02768","1,4135","0,024787"
"1,22","-0,57087","-30,742","-0,50438","0,02768","1,4121","0,024976"
"1,24","-0,57087","-30,709","-0,50804","0,02768","1,4106","0,025157"
"1,26","-0,57087","-30,675","-0,51153","0,02768","1,409","0,02533"
"1,28","-0,57087","-30,638","-0,51488","0,02768","1,4073","0,025495"
"1,3","-0,57087","-30,6","-0,51808","0,02768","1,4055","0,025654"
"1,32","-0,57087","-30,56","-0,52113","0,02768","1,4037","0,025805"
"1,34","-0,57087","-30,519","-0,52404","0,02768","1,4018","0,025949"
"1,36","-0,57087","-30,477","-0,52681","0,02768","1,3999","0,026086"
"1,38","-0,57087","-30,434","-0,52945","0,02768","1,3979","0,026217"
"1,4","-0,57087","-30,39","-0,53196","0,02768","1,3959","0,026341"
"1,42","-0,57087","-30,345","-0,53435","0,02768","1,3938","0,026459"
"1,44","-0,57087","-30,299","-0,53661","0,02768","1,3917","0,026571"
"1,46","-0,57087","-30,252","-0,53875","0,02768","1,3896","0,026678"
"1,48","-0,57087","-30,206","-0,54078","0,02768","1,3874","0,026778"
"1,5","-0,57087","-30,158","-0,5427","0,02768","1,3852","0,026873"
"1,52","-0,57087","-30,111","-0,54451","0,02768","1,3831","0,026963"
"1,54","-0,57087","-30,063","-0,54622","0,02768","1,3809","0,027047"
"1,56","-0,57087","-30,015","-0,54782","0,02768","1,3787","0,027127"
"1,58","-0,57087","-29,967","-0,54933","0,02768","1,3765","0,027201"
"1,6","-0,57087","-29,919","-0,55074","0,02768","1,3743","0,027271"
"1,62","-0,57087","-29,871","-0,55207","0,02768","1,3721","0,027337"
"1,64","-0,57087","-29,824","-0,55331","0,02768","1,3699","0,027398"
"1,66","-0,57087","-29,776","-0,55446","0,02768","1,3677","0,027455"
"1,68","-0,57087","-29,729","-0,55553","0,02768","1,3655","0,027508"
"1,7","-0,57087","-29,682","-0,55653","0,02768","1,3634","0,027558"
"1,72","-0,57087","-29,636","-0,55745","0,02768","1,3613","0,027603"
"1,74","-0,57087","-29,59","-0,5583","0,02768","1,3591","0,027645"
"1,76","-0,57087","-29,544","-0,55907","0,02768","1,3571","0,027684"
"1,78","-0,57087","-29,499","-0,55979","0,02768","1,355","0,027719"
"1,8","-0,57087","-29,455","-0,56044","0,02768","1,3529","0,027751"
"1,82","-0,57087","-29,411","-0,56103","0,02768","1,3509","0,027781"
"1,84","-0,57087","-29,368","-0,56156","0,02768","1,3489","0,027807"
"1,86","-0,57087","-29,325","-0,56204","0,02768","1,347","0,027831"
"1,88","-0,57087","-29,284","-0,56246","0,02768","1,3451","0,027852"
"1,9","-0,57087","-29,242","-0,56283","0,02768","1,3432","0,02787"
"1,92","-0,57087","-29,202","-0,56316","0,02768","1,3413","0,027886"
"1,94","-0,57087","-29,162","-0,56344","0,02768","1,3395","0,0279"
"1,96","-0,57087","-29,123","-0,56368","0,02768","1,3377","0,027912"
"1,98","-0,57087","-29,085","-0,56387","0,02768","1,336","0,027921"
2,"-0,57087","-29,048","-0,56403","0,02768","1,3342","0,027929"
"2,02","-0,57087","-29,011","-0,56414","0,02768","1,3326","0,027935"
"2,04","-0,57087","-28,975","-0,56423","0,02768","1,3309","0,027939"
"2,06","-0,57087","-28,94","-0,56428","0,02768","1,3293","0,027942"
"2,08","-0,57087","-28,906","-0,5643","0,02768","1,3277","0,027943"
"2,1","-0,57087","-28,873","-0,56429","0,02768","1,3262","0,027942"
"2,12","-0,57087","-28,84","-0,56425","0,02768","1,3247","0,02794"
"2,14","-0,57087","-28,809","-0,56418","0,02768","1,3233","0,027937"
"2,16","-0,57087","-28,778","-0,56409","0,02768","1,3218","0,027932"
"2,18","-0,57087","-28,748","-0,56398","0,02768","1,3205","0,027927"
"2,2","-0,57087","-28,719","-0,56385","0,02768","1,3191","0,02792"
"2,22","-0,57087","-28,69","-0,56369","0,02768","1,3178","0,027913"
"2,24","-0,57087","-28,663","-0,56352","0,02768","1,3165","0,027904"
"2,26","-0,57087","-28,636","-0,56333","0,02768","1,3153","0,027895"
"2,28","-0,57087","-28,61","-0,56313","0,02768","1,3141","0,027884"
"2,3","-0,57087","-28,585","-0,5629","0,02768","1,313","0,027874"
"2,32","-0,57087","-28,56","-0,56267","0,02768","1,3118","0,027862"
"2,34","-0,57087","-28,537","-0,56242","0,02768","1,3108","0,02785"
"2,36","-0,57087","-28,514","-0,56217","0,02768","1,3097","0,027837"
"2,38","-0,57087","-28,492","-0,5619","0,02768","1,3087","0,027824"
