,time,set point,output,process,set point test,output test,process test
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.5,0.0,0.0,4.836196352e-35,1.0,1.3507576186,0.0029237177891
2,1.0,0.0,0.0,-1.2752374847e-32,1.0,1.365735912,0.008398556733
3,1.5,0.0,0.0,7.1971137848e-33,1.0,1.3780200647,0.016085047055
4,2.0,0.0,0.0,-2.6287426117e-33,1.0,1.3879310084,0.025674564464
5,2.5,0.0,0.0,-3.0878435071e-33,1.0,1.3957615973,0.036887160638
6,3.0,0.0,0.0,-3.8387378634e-33,1.0,1.4017785159,0.049469504066
7,3.5,0.0,0.0,-3.9662672671e-33,1.0,1.406224096,0.063192929303
8,4.0,0.0,0.0,-4.1754174696e-33,1.0,1.409318043,0.077851592244
9,4.5,0.0,0.0,-4.309457248e-33,1.0,1.411259073,0.093260728749
10,5.0,0.0,0.0,-3.9152846852e-33,1.0,1.4122264627,0.10925501361
11,5.5,0.0,0.0,-4.3053872825e-33,1.0,1.4123815144,0.12568701671
12,6.0,0.0,0.0,-4.6899690397e-33,1.0,1.4118689377,0.14242575296
13,6.5,0.0,0.0,-9.9109361299e-33,1.0,1.4108181503,0.15935532253
14,7.0,0.0,0.0,-7.9973902481e-33,1.0,1.409344502,0.17637363786
15,7.5,0.0,0.0,-8.0333585385e-33,1.0,1.4075504226,0.19339123371
16,8.0,0.0,0.0,-8.1736711692e-33,1.0,1.4055264982,0.21033015659
17,8.5,0.0,0.0,-8.3181730137e-33,1.0,1.4033524783,0.22712293
18,9.0,0.0,0.0,-8.4410981544e-33,1.0,1.4010982159,0.24371159174
19,9.5,0.0,0.0,-8.5793528089e-33,1.0,1.3988245452,0.26004679965
20,10.0,2.0,3.6288323471,0.0078546154699,3.0,4.0980993355,0.28193443796
21,10.5,2.0,3.6869507924,0.02260155865,3.0,4.1258938893,0.30859478501
22,11.0,2.0,3.7349384154,0.043355914863,3.0,4.1484170278,0.33932068605
23,11.5,2.0,3.7738559663,0.069305885906,3.0,4.166342983,0.37347233546
24,12.0,2.0,3.804685223,0.099708617222,3.0,4.1802843529,0.41047233425
