,time,set point,output
0,0.0,0.0,0.0
1,0.5,0.0,0.0
2,1.0,0.0,0.0
3,1.5,0.0,0.0
4,2.0,0.0,0.0
5,2.5,0.0,0.0
6,3.0,0.0,0.0
7,3.5,0.0,0.0
8,4.0,0.0,0.0
9,4.5,0.0,0.0
10,5.0,0.0,0.0
11,5.5,0.0,0.0
12,6.0,0.0,0.0
13,6.5,0.0,0.0
14,7.0,0.0,0.0
15,7.5,0.0,0.0
16,8.0,0.0,0.0
17,8.5,0.0,0.0
18,9.0,0.0,0.0
19,9.5,0.0,0.0
20,10.0,2.0,3.6288323471
21,10.5,2.0,3.6869507924
22,11.0,2.0,3.7349384154
23,11.5,2.0,3.7738559663
24,12.0,2.0,3.804685223
25,12.5,2.0,3.8283328946
26,13.0,2.0,3.8456344976
27,13.5,2.0,3.8573581831
28,14.0,2.0,3.8642084985
29,14.5,2.0,3.8668300678
30,15.0,2.0,3.8658111787
31,15.5,2.0,3.8616872655
32,16.0,2.0,3.8549442799
33,16.5,2.0,3.8460219423
34,17.0,2.0,3.8353168695
35,17.5,2.0,3.823185574
36,18.0,2.0,3.8099473331
37,18.5,2.0,3.795886927
38,19.0,2.0,3.7812572438
39,19.5,2.0,3.766281754
40,20.0,2.0,3.7511568543
41,20.5,2.0,3.7360540834
42,21.0,2.0,3.7211222118
43,21.5,2.0,3.7064892088
44,22.0,2.0,3.6922640901
45,22.5,2.0,3.678538649
46,23.0,2.0,3.6653890762
47,23.5,2.0,3.6528774714
48,24.0,2.0,3.6410532509
49,24.5,2.0,3.6299544571
50,25.0,5.0,9.0628574918
51,25.5,5.0,9.1404618263
52,26.0,5.0,9.2036529239
53,26.5,5.0,9.2540257108
54,27.0,5.0,9.293050489
55,27.5,5.0,9.3220795984
56,28.0,5.0,9.3423539675
57,28.5,5.0,9.3550095274
58,29.0,5.0,9.3610834658
59,29.5,5.0,9.3615203032
60,30.0,5.0,9.3571777758
61,30.5,5.0,9.3488325123
62,31.0,5.0,9.3371854971
63,31.5,5.0,9.3228673116
64,32.0,5.0,9.30644315
65,32.5,5.0,9.2884176063
66,33.0,5.0,9.2692392324
67,33.5,5.0,9.2493048676
68,34.0,5.0,9.2289637416
69,34.5,5.0,9.2085213541
70,35.0,5.0,9.1882431354
71,35.5,5.0,9.1683578927
72,36.0,5.0,9.1490610479
73,36.5,5.0,9.1305176732
74,37.0,5.0,9.1128653314
75,37.5,5.0,9.0962167273
76,38.0,5.0,9.0806621786
77,38.5,5.0,9.0662719126
78,39.0,5.0,9.0530981978
79,39.5,5.0,9.0411773166
80,40.0,5.0,9.0305313886
81,40.5,5.0,9.0211700501
82,41.0,5.0,9.013091999
83,41.5,5.0,9.0062864127
84,42.0,5.0,9.0007342443
85,42.5,5.0,8.9964094074
86,43.0,5.0,8.9932798528
87,43.5,5.0,8.9913085474
88,44.0,5.0,8.9904543595
89,44.5,5.0,8.9906728568
90,45.0,5.0,8.9919170246
91,45.5,5.0,8.9941379087
92,46.0,5.0,8.9972851883
93,46.5,5.0,9.0013076857
94,47.0,5.0,9.0061538155
95,47.5,5.0,9.0117719801
96,48.0,5.0,9.0181109144
97,48.5,5.0,9.0251199851
98,49.0,5.0,9.0327494476
99,49.5,5.0,9.0409506647
100,50.0,1.0,1.7920115961
101,50.5,1.0,1.684978837
102,51.0,1.0,1.5986418938
103,51.5,1.0,1.5308365964
104,52.0,1.0,1.4795584601
105,52.5,1.0,1.442954933
106,53.0,1.0,1.4193176796
107,53.5,1.0,1.4070749464
108,54.0,1.0,1.404784044
109,54.5,1.0,1.4111239798
110,55.0,1.0,1.4248882655
111,55.5,1.0,1.4449779249
112,56.0,1.0,1.4703947161
113,56.5,1.0,1.5002345874
114,57.0,1.0,1.5336813739
115,57.5,1.0,1.5700007464
116,58.0,1.0,1.6085344168
117,58.5,1.0,1.6486946035
118,59.0,1.0,1.6899587592
119,59.5,1.0,1.7318645596
120,60.0,4.0,7.2172536723
121,60.5,4.0,7.3464508467
122,61.0,4.0,7.4600215563
123,61.5,4.0,7.5592905153
124,62.0,4.0,7.645502955
125,62.5,4.0,7.7198269552
126,63.0,4.0,7.7833559582
127,63.5,4.0,7.8371114276
128,64.0,4.0,7.8820456176
129,64.5,4.0,7.9190444207
130,65.0,4.0,7.9489302668
131,65.5,4.0,7.9724650498
132,66.0,4.0,7.9903530595
133,66.5,4.0,8.0032438993
134,67.0,4.0,8.0117353758
135,67.5,4.0,8.0163763428
136,68.0,4.0,8.0176694907
137,68.5,4.0,8.0160740689
138,69.0,4.0,8.012008534
139,69.5,4.0,8.0058531163
140,70.0,4.0,7.997952299
141,70.5,4.0,7.9886172055
142,71.0,4.0,7.9781278931
143,71.5,4.0,7.966735548
144,72.0,4.0,7.9546645832
145,72.5,4.0,7.9421146371
146,73.0,4.0,7.9292624728
147,73.5,4.0,7.9162637801
148,74.0,4.0,7.9032548797
149,74.5,4.0,7.8903543328
150,75.0,4.0,7.8776644575
151,75.5,4.0,7.8652727535
152,76.0,4.0,7.8532532402
153,76.5,4.0,7.8416677079
154,77.0,4.0,7.8305668875
155,77.5,4.0,7.8199915409
156,78.0,4.0,7.8099734754
157,78.5,4.0,7.8005364854
158,79.0,4.0,7.7916972248
159,79.5,4.0,7.7834660137
160,80.0,0.0,0.51818288764
161,80.5,0.0,0.3949401686
162,81.0,0.0,0.29256724484
163,81.5,0.0,0.20893446091
164,82.0,0.0,0.14206693037
165,82.5,0.0,0.090137206968
166,83.0,0.0,0.051457967846
167,83.5,0.0,0.02447475273
168,84.0,0.0,0.0077587968183
169,84.5,0.0,0.0
170,85.0,0.0,0.0
171,85.5,0.0,0.0066655126772
172,86.0,0.0,0.019001818653
173,86.5,0.0,0.036106411827
174,87.0,0.0,0.057162962047
175,87.5,0.0,0.081435461284
176,88.0,0.0,0.10826262004
177,88.5,0.0,0.13705250834
178,89.0,0.0,0.16727744369
179,89.5,0.0,0.19846912643
180,90.0,0.0,0.2302140214
181,90.5,0.0,0.26214898352
182,91.0,0.0,0.29395712345
183,91.5,0.0,0.32536390883
184,92.0,0.0,0.35613349525
185,92.5,0.0,0.38606528105
186,93.0,0.0,0.41499067866
187,93.5,0.0,0.44277009547
188,94.0,0.0,0.46929011623
189,94.5,0.0,0.49446087927
190,95.0,0.0,0.51821363806
191,95.5,0.0,0.54049850005
192,96.0,0.0,0.56128233426
193,96.5,0.0,0.5805468394
194,97.0,0.0,0.59828676423
195,97.5,0.0,0.6145082718
196,98.0,0.0,0.62922743985
197,98.5,0.0,0.64246888915
198,99.0,0.0,0.65426453239
199,99.5,0.0,0.66465243599
