,0
0,1.8912793
1,1.8899337
2,1.8861953
3,1.8804487
4,1.8730103
5,1.864153
6,1.8540996
7,1.8430523
8,1.8311673
9,1.8185939
10,1.8054508
11,1.7918483
12,1.7778727
13,1.7636122
14,1.7491263
15,1.73448
16,1.7197269
17,1.704918
18,1.6900867
19,1.6752793
20,1.6605192
21,1.645842
22,1.6312677
23,1.6168262
24,1.6025423
25,1.5883917
26,1.574457
27,1.5607182
28,1.54717
29,1.5338768
30,1.5207795
31,1.507944
32,1.4953388
33,1.4829956
34,1.4709133
35,1.4590997
36,1.4475507
37,1.4362737
38,1.4252645
39,1.414559
40,1.4040943
41,1.3939084
42,1.3840281
43,1.3743936
44,1.3650392
45,1.355966
46,1.3471705
47,1.338632
48,1.3303715
49,1.3223675
50,1.314648
51,1.3071533
52,1.2999457
53,1.292966
54,1.2862433
55,1.2797815
56,1.2735153
57,1.2675396
58,1.2617668
59,1.2562231
60,1.2508825
61,1.2457722
62,1.2408937
63,1.2362164
64,1.231718
65,1.2274464
66,1.2233533
67,1.2194592
68,1.215715
69,1.2121748
70,1.2088045
71,1.2056123
72,1.202566
73,1.1996928
74,1.1969682
75,1.194388
76,1.1919557
77,1.189669
78,1.1875292
79,1.1854767
80,1.1835972
81,1.1818084
82,1.1801382
83,1.1785821
84,1.1771432
85,1.1758229
86,1.174559
87,1.1734172
88,1.1723882
89,1.1714195
90,1.1705388
91,1.1697456
92,1.1690415
93,1.168398
94,1.1678408
95,1.1673101
96,1.1668683
97,1.1665171
98,1.1661919
99,1.1659302
100,1.1657249
101,1.1655468
102,1.1654619
103,1.1653706
104,1.1653425
105,1.1653706
106,1.1654292
107,1.1655184
108,1.1656338
109,1.1657835
110,1.1659585
111,1.1661643
112,1.1663991
113,1.1666633
114,1.1669286
115,1.1672221
116,1.1675454
117,1.1678683
118,1.1682206
119,1.1685711
120,1.1689559
121,1.1693352
122,1.1697456
123,1.170128
124,1.1705388
125,1.1709801
126,1.1713899
127,1.1718308
128,1.172243
129,1.1726829
130,1.1731225
131,1.1735626
132,1.1740016
133,1.1744443
134,1.1748842
135,1.1752938
136,1.175737
137,1.1761738
138,1.1765853
139,1.1770245
140,1.1774358
141,1.1778482
142,1.1782595
143,1.1786708
144,1.1790799
145,1.1794602
146,1.1798738
147,1.1802543
148,1.1806353
149,1.1809865
150,1.181369
151,1.1817197
152,1.1820742
153,1.1823946
154,1.1827477
155,1.1830715
156,1.1833912
157,1.1836861
158,1.1840085
159,1.1843005
160,1.1845948
161,1.1848596
162,1.1851534
163,1.1854161
164,1.1856805
165,1.1859144
166,1.1861798
167,1.1864136
168,1.1866492
169,1.1868535
170,1.1870888
171,1.1872948
172,1.1874975
173,1.1877047
174,1.1878814
175,1.1880559
176,1.1882323
177,1.1884078
178,1.1885847
179,1.1887308
180,1.1888767
181,1.1890241
182,1.1891698
183,1.1892871
184,1.1894337
185,1.1895512
186,1.189669
187,1.1897863
188,1.1898733
189,1.1899914
190,1.1900808
191,1.1901687
192,1.1902562
193,1.1903433
194,1.190431
195,1.1905192
196,1.1905776
197,1.1906368
198,1.1907247
199,1.1907843
200,1.1908423
201,1.1908714
202,1.1909302
203,1.1909884
204,1.1910154
205,1.1910774
206,1.1911081
207,1.1911343
208,1.1911641
209,1.1911942
210,1.1912221
211,1.1912526
212,1.1912814
213,1.1913127
214,1.1913387
215,1.1913387
216,1.1913694
217,1.1913694
218,1.1913983
219,1.1913983
220,1.1913983
221,1.1914302
222,1.1914302
223,1.1914302
224,1.1914302
225,1.1914302
226,1.1914302
227,1.1914302
228,1.1914302
229,1.1914302
230,1.1914302
231,1.1914302
232,1.1914302
233,1.1914302
234,1.1914302
235,1.1913983
236,1.1913983
237,1.1913983
238,1.1913983
239,1.1913694
240,1.1913694
241,1.1913694
242,1.1913387
243,1.1913387
244,1.1913387
245,1.1913127
246,1.1913127
247,1.1913127
248,1.1912814
249,1.1912814
250,-6.2725925
251,-6.2690783
252,-6.2592673
253,-6.2440157
254,-6.2239842
255,-6.1997333
256,-6.171691
257,-6.140204
258,-6.1056347
259,-6.0682373
260,-6.0282574
261,-5.98598
262,-5.9416013
263,-5.8953333
264,-5.847388
265,-5.7979555
266,-5.747231
267,-5.6953893
268,-5.6426105
269,-5.589069
270,-5.5349226
271,-5.4803367
272,-5.4254737
273,-5.3704486
274,-5.3154116
275,-5.26051
276,-5.2058454
277,-5.1515703
278,-5.0977755
279,-5.0445356
280,-4.9919915
281,-4.940209
282,-4.889274
283,-4.839235
284,-4.790174
285,-4.7421637
286,-4.6952167
287,-4.6494
288,-4.6047435
289,-4.5612745
290,-4.5190196
291,-4.4779935
292,-4.4382205
293,-4.3996816
294,-4.3623857
295,-4.3263407
296,-4.2915454
297,-4.2579575
298,-4.2255955
299,-4.1944337
300,-4.164466
301,-4.135628
302,-4.1079507
303,-4.081392
304,-4.0559163
305,-4.0315194
306,-4.0081344
307,-3.9857793
308,-3.964418
309,-3.943984
310,-3.924502
311,-3.905901
312,-3.888176
313,-3.8712883
314,-3.855207
315,-3.8399177
316,-3.8253913
317,-3.8116179
318,-3.7985377
319,-3.786117
320,-3.774375
321,-3.7632551
322,-3.7527542
323,-3.742835
324,-3.733498
325,-3.7246838
326,-3.7163897
327,-3.7085886
328,-3.7012753
329,-3.6944447
330,-3.6880226
331,-3.6820521
332,-3.676457
333,-3.6712847
334,-3.666463
335,-3.6620088
336,-3.6579027
337,-3.6541104
338,-3.650639
339,-3.6474571
340,-3.644568
341,-3.6419435
342,-3.639584
343,-3.637466
