,0
0,2.499339
1,2.4979248
2,2.494
3,2.487973
4,2.4801798
5,2.470915
6,2.4604154
7,2.4489
8,2.436543
9,2.4234967
10,2.409898
11,2.3958526
12,2.381463
13,2.3668132
14,2.351981
15,2.3370206
16,2.3219967
17,2.306949
18,2.2919295
19,2.2769706
20,2.262104
21,2.2473576
22,2.2327566
23,2.2183292
24,2.2040994
25,2.190036
26,2.1762283
27,2.1626463
28,2.149289
29,2.1362188
30,2.1233718
31,2.1108086
32,2.098504
33,2.0864792
34,2.074742
35,2.063291
36,2.052119
37,2.0412338
38,2.0306373
39,2.0203462
40,2.010311
41,2.000561
42,1.9911194
43,1.981935
44,1.9730375
45,1.9644132
46,1.9560745
47,1.9479873
48,1.9401801
49,1.9326291
50,1.9253559
51,1.9183061
52,1.9115355
53,1.9049857
54,1.89869
55,1.892642
56,1.886791
57,1.8812149
58,1.8758311
59,1.8706696
60,1.8657005
61,1.8609545
62,1.8564277
63,1.8520927
64,1.8479192
65,1.8439713
66,1.8401821
67,1.8365858
68,1.8331285
69,1.8298588
70,1.8267515
71,1.8238144
72,1.8210073
73,1.8183649
74,1.8158576
75,1.8134875
76,1.8112533
77,1.8091526
78,1.8071864
79,1.8053029
80,1.8035822
81,1.8019407
82,1.80041
83,1.798984
84,1.7976658
85,1.7964578
86,1.7953038
87,1.7942553
88,1.7933149
89,1.7924283
90,1.7916241
91,1.7908986
92,1.7902546
93,1.7896652
94,1.7891533
95,1.7886696
96,1.7882698
97,1.7879472
98,1.7876511
99,1.7874119
100,1.78722
101,1.7870629
102,1.7869818
103,1.7869017
104,1.7868717
105,1.7869017
106,1.7869549
107,1.7870343
108,1.7871432
109,1.7872765
110,1.7874379
111,1.7876241
112,1.7878387
113,1.7880807
114,1.7883232
115,1.7885895
116,1.7888858
117,1.7891784
118,1.7895026
119,1.7898262
120,1.7901742
121,1.7905223
122,1.7908986
123,1.7912457
124,1.7916241
125,1.7920277
126,1.7924032
127,1.7928047
128,1.7931824
129,1.7935841
130,1.7939858
131,1.7943907
132,1.7947936
133,1.7951927
134,1.7955978
135,1.795975
136,1.7963774
137,1.7967808
138,1.7971578
139,1.7975588
140,1.7979357
141,1.7983136
142,1.7986889
143,1.7990654
144,1.7994406
145,1.7997923
146,1.8001678
147,1.8005185
148,1.8008628
149,1.801188
150,1.801539
151,1.8018606
152,1.8021817
153,1.8024809
154,1.8028021
155,1.8030989
156,1.8033936
157,1.8036618
158,1.8039584
159,1.8042262
160,1.804498
161,1.8047388
162,1.8050091
163,1.8052487
164,1.8054934
165,1.8057055
166,1.805949
167,1.8061633
168,1.80638
169,1.8065684
170,1.8067813
171,1.8069708
172,1.8071618
173,1.8073487
174,1.807512
175,1.8076718
176,1.8078327
177,1.8079941
178,1.808156
179,1.8082902
180,1.8084245
181,1.808559
182,1.8086936
183,1.8088026
184,1.8089371
185,1.809046
186,1.8091526
187,1.8092592
188,1.8093424
189,1.8094485
190,1.8095298
191,1.8096118
192,1.8096895
193,1.809772
194,1.8098512
195,1.8099332
196,1.8099859
197,1.8100407
198,1.8101206
199,1.8101761
200,1.8102298
201,1.8102567
202,1.8103082
203,1.810365
204,1.8103912
205,1.8104436
206,1.8104715
207,1.8104975
208,1.810524
209,1.8105528
210,1.8105798
211,1.8106067
212,1.8106315
213,1.8106611
214,1.8106861
215,1.8106861
216,1.8107135
217,1.8107135
218,1.8107388
219,1.8107388
220,1.8107388
221,1.8107688
222,1.8107688
223,1.8107688
224,1.8107688
225,1.8107688
226,1.8107688
227,1.8107688
228,1.8107688
229,1.8107688
230,1.8107688
231,1.8107688
232,1.8107688
233,1.8107688
234,1.8107688
235,1.8107388
236,1.8107388
237,1.8107388
238,1.8107388
239,1.8107135
240,1.8107135
241,1.8107135
242,1.8106861
243,1.8106861
244,1.8106861
245,1.8106611
246,1.8106611
247,1.8106611
248,1.8106315
249,1.8106315
250,-5.6074343
251,-5.6045065
252,-5.596314
253,-5.583546
254,-5.566718
255,-5.5462584
256,-5.5224977
257,-5.4956894
258,-5.4661226
259,-5.433987
260,-5.3994846
261,-5.3628583
262,-5.3242693
263,-5.283915
264,-5.241984
265,-5.1986566
266,-5.154123
267,-5.108559
268,-5.0621405
269,-5.015035
270,-4.967416
271,-4.9194365
272,-4.871268
273,-4.823026
274,-4.7748575
275,-4.7269063
276,-4.679273
277,-4.6320934
278,-4.5854664
279,-4.539444
280,-4.4941616
281,-4.4496717
282,-4.4060397
283,-4.363313
284,-4.3215494
285,-4.2808065
286,-4.2410865
287,-4.2024364
288,-4.1648726
289,-4.128411
290,-4.0930634
291,-4.05883
292,-4.02572
293,-3.9937174
294,-3.9628088
295,-3.9330037
296,-3.9042876
297,-3.8766131
298,-3.8499963
299,-3.8244035
300,-3.799828
