,0
0,-67.62172
1,-67.43313
2,-66.9048
3,-66.078384
4,-64.986946
5,-63.6597
6,-62.126945
7,-60.421467
8,-58.580822
9,-56.644737
10,-54.653545
11,-52.643524
12,-50.647964
13,-48.696854
14,-46.821434
15,-45.05092
16,-43.406853
17,-41.89474
18,-40.491524
19,-39.163956
20,-37.873528
21,-36.589867
22,-35.296333
23,-33.995285
24,-32.69613
25,-31.417913
26,-30.18332
27,-29.010683
28,-27.919378
29,-26.918215
30,-26.01815
31,-25.219585
32,-24.521952
33,-23.924643
34,-23.42313
35,-23.009413
36,-22.679531
37,-22.426767
38,-22.241858
39,-22.122513
40,-22.059326
41,-22.04762
42,-22.082722
43,-22.157618
44,-22.265265
45,-22.405699
46,-22.571873
47,-22.759098
48,-22.964977
49,-23.18244
50,-23.413784
51,-23.651884
52,-23.894358
53,-24.138784
54,-24.385078
55,-24.628544
56,-24.86681
57,-25.102163
58,-25.329952
59,-25.550205
60,-25.762909
61,-25.965816
62,-26.161264
63,-26.34474
64,-26.516336
65,-26.68062
66,-26.833166
67,-26.974075
68,-27.105652
69,-27.227955
70,-27.338842
71,-27.440603
72,-27.535494
73,-27.619171
74,-27.693897
75,-27.761902
76,-27.82322
77,-27.8757
78,-27.921568
79,-27.960829
80,-27.995691
81,-28.024
82,-28.047928
83,-28.067507
84,-28.082716
85,-28.093578
86,-28.1001
87,-28.104439
88,-28.106607
89,-28.104439
90,-28.102264
91,-28.097921
92,-28.08924
93,-28.082716
94,-28.071846
95,-28.060978
96,-28.0501
97,-28.039228
98,-28.026175
99,-28.013113
100,-28.00005
101,-27.98916
102,-27.976084
103,-27.96301
104,-27.949924
105,-27.939016
106,-27.925928
107,-27.915016
108,-27.9041
109,-27.893183
110,-27.884443
111,-27.873518
112,-27.864775
113,-27.856026
114,-27.849464
115,-27.840727
116,-27.83416
117,-27.827602
118,-27.82322
119,-27.816658
120,-27.812279
121,-27.807907
122,-27.805714
123,-27.801327
124,-27.799139
125,-27.79477
126,-27.79258
127,-27.79258
128,-27.79039
129,-27.788187
130,-27.788187
131,-27.786005
132,-27.786005
133,-27.786005
134,-27.786005
135,-27.786005
136,-27.786005
137,-27.786005
138,-27.786005
139,-27.786005
140,-27.786005
141,-27.788187
142,-27.788187
143,-27.788187
144,-27.79039
145,-27.79039
146,-27.79039
147,-27.79258
148,-27.79258
149,-27.79258
150,-27.79477
151,-27.79477
152,-27.79477
153,-27.796953
154,-27.796953
155,-27.796953
156,-27.796953
157,-27.799139
158,-27.799139
159,-27.799139
160,-27.799139
161,-27.801327
162,-27.801327
163,-27.801327
164,-27.801327
165,-27.801327
166,-27.801327
167,-27.803526
168,-27.803526
169,-27.803526
170,-27.803526
171,-27.803526
172,-27.803526
173,-27.803526
174,-27.803526
175,-27.803526
176,-27.803526
177,-27.803526
178,-27.803526
179,-27.803526
180,-27.803526
181,-27.803526
182,-27.803526
183,-27.803526
184,-27.803526
185,-27.803526
186,-27.803526
187,-27.803526
188,-27.803526
189,-27.803526
190,-27.803526
191,-27.803526
192,-27.803526
193,-27.803526
194,-27.803526
195,-27.803526
196,-27.803526
197,-27.803526
198,-27.803526
199,-27.803526
200,-27.803526
201,-27.803526
202,-27.803526
203,-27.803526
204,-27.803526
205,-27.803526
206,-27.803526
207,-27.803526
208,-27.803526
209,-27.803526
210,-27.803526
211,-27.803526
212,-27.803526
213,-27.803526
214,-27.803526
215,-27.803526
216,-27.803526
217,-27.803526
218,-27.803526
219,-27.803526
220,-27.803526
221,-27.803526
222,-27.803526
223,-27.803526
224,-27.803526
225,-27.803526
226,-27.803526
227,-27.803526
228,-27.803526
229,-27.803526
230,-27.803526
231,-27.803526
232,-27.803526
233,-27.803526
234,-27.803526
235,-27.803526
236,-27.803526
237,-27.803526
238,-27.803526
239,-27.803526
240,-27.803526
241,-27.803526
242,-27.803526
243,-27.803526
244,-27.803526
245,-27.803526
246,-27.803526
247,-27.803526
248,-27.803526
249,-27.803526
250,-82.02253
251,-81.82716
252,-81.27375
253,-80.405045
254,-79.246155
255,-77.82076
256,-76.1582
257,-74.29003
258,-72.25298
259,-70.09581
260,-67.87194
261,-65.629974
262,-63.422615
263,-61.29774
264,-59.285854
265,-57.41904
266,-55.714886
267,-54.183636
268,-52.826042
269,-51.63303
270,-50.5949
271,-49.69287
272,-48.91281
273,-48.2358
274,-47.650402
275,-47.142105
276,-46.70016
277,-46.316975
278,-45.98342
279,-45.694065
280,-45.444603
281,-45.22958
282,-45.047245
283,-44.893368
284,-44.765114
285,-44.660873
286,-44.57734
287,-44.51421
288,-44.468422
289,-44.4389
290,-44.422737
291,-44.419888
292,-44.42844
293,-44.447475
294,-44.47414
295,-44.509438
296,-44.55053
297,-44.59746
298,-44.649326
299,-44.70423
300,-44.762207
301,-44.82329
302,-44.88459
303,-44.948082
304,-45.010853
305,-45.07386
306,-45.137142
307,-45.198696
308,-45.25953
309,-45.3186
310,-45.374905
311,-45.43043
312,-45.483143
313,-45.53402
314,-45.58203
315,-45.627132
316,-45.66931
317,-45.70956
318,-45.746822
319,-45.782124
320,-45.8144
321,-45.84362
322,-45.870827
323,-45.89493
324,-45.916992
325,-45.93699
326,-45.95491
327,-45.970734
328,-45.98447
329,-45.996113
330,-46.005634
331,-46.01411
332,-46.02154
333,-46.0279
