,0
0,-23.247093
1,-23.269157
2,-23.33031
3,-23.42426
4,-23.545649
5,-23.689869
6,-23.852938
7,-24.03141
8,-24.222227
9,-24.422665
10,-24.630337
11,-24.843067
12,-25.058962
13,-25.276215
14,-25.49347
15,-25.709263
16,-25.922266
17,-26.13172
18,-26.336372
19,-26.535563
20,-26.728527
21,-26.91471
22,-27.09379
23,-27.26534
24,-27.429003
25,-27.58463
26,-27.732128
27,-27.871452
28,-28.002737
29,-28.125914
30,-28.241198
31,-28.348837
32,-28.44899
33,-28.54186
34,-28.627867
35,-28.707325
36,-28.780401
37,-28.847616
38,-28.909225
39,-28.965515
40,-29.016962
41,-29.063772
42,-29.106396
43,-29.145088
44,-29.180206
45,-29.211979
46,-29.240736
47,-29.26673
48,-29.290201
49,-29.311415
50,-29.330542
51,-29.347841
52,-29.363447
53,-29.377562
54,-29.390322
55,-29.401869
56,-29.412344
57,-29.42187
58,-29.430504
59,-29.438395
60,-29.44559
61,-29.452166
62,-29.458212
63,-29.463745
64,-29.468863
65,-29.473587
66,-29.47795
67,-29.481993
68,-29.485746
69,-29.489246
70,-29.492506
71,-29.495558
72,-29.4984
73,-29.501053
74,-29.503542
75,-29.505877
76,-29.508057
77,-29.510109
78,-29.51201
79,-29.513803
80,-29.515474
81,-29.51704
82,-29.518503
83,-29.519855
84,-29.521114
85,-29.522287
86,-29.523369
87,-29.524372
88,-29.525276
89,-29.526125
90,-29.526892
91,-29.52759
92,-29.528214
93,-29.528778
94,-29.529276
95,-29.529713
96,-29.530106
97,-29.530436
98,-29.530718
99,-29.530947
100,-29.531136
101,-29.531267
102,-29.531376
103,-29.531437
104,-29.531458
105,-29.531446
106,-29.531399
107,-29.531315
108,-29.53121
109,-29.531075
110,-29.53092
111,-29.53073
112,-29.530527
113,-29.530308
114,-29.53007
115,-29.529799
116,-29.529526
117,-29.52923
118,-29.528933
119,-29.528612
120,-29.528286
121,-29.52794
122,-29.527601
123,-29.527243
124,-29.526892
125,-29.526524
126,-29.526148
127,-29.525772
128,-29.525394
129,-29.525017
130,-29.524643
131,-29.524254
132,-29.523876
133,-29.523487
134,-29.5231
135,-29.522726
136,-29.52235
137,-29.521973
138,-29.521595
139,-29.521221
140,-29.520859
141,-29.520494
142,-29.520138
143,-29.519775
144,-29.519434
145,-29.51908
146,-29.518738
147,-29.518412
148,-29.518078
149,-29.51775
150,-29.517433
151,-29.517124
152,-29.51682
153,-29.51651
154,-29.516218
155,-29.515936
156,-29.51565
157,-29.515377
158,-29.515106
159,-29.514847
160,-29.514597
161,-29.51435
162,-29.514101
163,-29.513865
164,-29.51364
165,-29.513414
166,-29.513199
167,-29.512985
168,-29.512785
169,-29.512583
170,-29.512392
171,-29.512215
172,-29.512035
173,-29.511858
174,-29.511692
175,-29.511526
176,-29.51137
177,-29.511227
178,-29.511087
179,-29.510942
180,-29.510813
181,-29.510677
182,-29.510548
183,-29.510427
184,-29.51032
185,-29.510212
186,-29.510109
187,-29.51001
188,-29.509914
189,-29.509823
190,-29.509731
191,-29.509651
192,-29.509567
193,-29.509499
194,-29.509424
195,-29.509352
196,-29.509293
197,-29.509233
198,-29.50917
199,-29.50912
200,-29.509066
201,-29.509018
202,-29.508978
203,-29.508932
204,-29.508898
205,-29.50886
206,-29.508827
207,-29.50879
208,-29.508764
209,-29.508732
210,-29.508705
211,-29.50868
212,-29.508657
213,-29.508646
214,-29.508621
215,-29.50861
216,-29.508596
217,-29.508585
218,-29.508572
219,-29.50856
220,-29.508553
221,-29.508553
222,-29.50854
223,-29.50854
224,-29.50854
225,-29.508526
226,-29.508526
227,-29.508526
228,-29.508526
229,-29.508526
230,-29.50854
231,-29.50854
232,-29.50854
233,-29.50854
234,-29.508553
235,-29.508553
236,-29.50856
237,-29.50856
238,-29.508572
239,-29.508572
240,-29.508585
241,-29.508596
242,-29.508596
243,-29.50861
244,-29.508621
245,-29.508633
246,-29.508633
247,-29.508646
248,-29.508657
249,-29.508669
250,-47.966873
251,-47.968857
252,-47.974117
253,-47.98165
254,-47.990456
255,-47.99957
256,-48.008125
257,-48.015366
258,-48.020638
259,-48.023426
260,-48.02332
261,-48.020008
262,-48.01328
263,-48.003014
264,-47.98912
265,-47.97166
266,-47.950626
267,-47.926174
268,-47.898445
269,-47.867554
270,-47.833797
271,-47.797287
272,-47.75829
273,-47.717102
274,-47.673862
275,-47.628952
276,-47.582443
277,-47.53473
278,-47.48595
279,-47.436275
280,-47.386147
281,-47.335484
282,-47.28472
283,-47.233833
284,-47.183155
285,-47.13264
286,-47.082695
287,-47.033157
288,-46.984337
289,-46.936325
290,-46.88911
291,-46.842884
292,-46.797615
293,-46.75336
294,-46.710186
295,-46.668236
296,-46.627464
297,-46.587788
298,-46.549362
299,-46.5122
300,-46.47612
301,-46.441452
302,-46.40791
303,-46.3755
304,-46.344425
305,-46.314507
306,-46.285736
307,-46.258125
308,-46.231567
309,-46.20627
310,-46.181927
311,-46.158627
312,-46.136486
313,-46.115288
314,-46.09504
315,-46.07572
316,-46.057346
317,-46.03989
318,-46.023266
319,-46.00757
320,-45.992584
321,-45.978416
322,-45.965054
323,-45.9523
324,-45.94035
325,-45.9291
326,-45.918446
327,-45.90839
328,-45.89902
329,-45.890244
330,-45.881958
331,-45.874252
332,-45.867043
333,-45.860413
334,-45.854164
335,-45.8484
336,-45.84311
337,-45.838207
338,-45.833683
339,-45.829636
340,-45.82588
341,-45.8225
342,-45.8194
343,-45.816685
344,-45.814243
345,-45.812088
346,-45.810215
347,-45.808624
348,-45.807316
349,-45.80619
350,-45.805256
351,-45.8046
352,-45.80413
353,-45.803852
354,-45.80376
355,-45.80376
356,-45.80404
357,-45.804417
358,-45.804882
359,-45.80554
360,-45.806282
361,-45.807217
362,-45.80816
363,-45.809284
364,-45.810402
365,-45.811714
366,-45.813026
367,-45.814426
368,-45.81593
369,-45.817524
370,-45.81912
371,-45.820717
372,-45.822403
373,-45.824093
374,-45.82588
375,-45.827667
376,-45.829453
377,-45.83133
378,-45.83312
379,-45.835
380,-45.836887
381,-45.83877
382,-45.84066
383,-45.84255
384,-45.844433
385,-45.84632
386,-45.848114
387,-45.850002
388,-45.8518
389,-45.853695
390,-45.855488
391,-45.857285
392,-45.859085
393,-45.860786
394,-45.862495
395,-45.8642
396,-45.865906
397,-45.86752
398,-45.869225
399,-45.870743
400,-45.87236
401,-45.87388
402,-45.8754
403,-45.876915
404,-45.87834
405,-45.879772
406,-45.881104
407,-45.882534
408,-45.88386
409,-45.885105
410,-45.886345
411,-45.88758
412,-45.888817
