,0
0,-24.56805
1,-24.578846
2,-24.608902
3,-24.655457
4,-24.716328
5,-24.78975
6,-24.874338
7,-24.968927
8,-25.072569
9,-25.184443
10,-25.303848
11,-25.43014
12,-25.562744
13,-25.70104
14,-25.844582
15,-25.992762
16,-26.144903
17,-26.30064
18,-26.459112
19,-26.61964
20,-26.781876
21,-26.94472
22,-27.107702
23,-27.270016
24,-27.43082
25,-27.589375
26,-27.74492
27,-27.89669
28,-28.044054
29,-28.186115
30,-28.322285
31,-28.451998
32,-28.574604
33,-28.689516
34,-28.796452
35,-28.895061
36,-28.98487
37,-29.065884
38,-29.137886
39,-29.200748
40,-29.254677
41,-29.29963
42,-29.3359
43,-29.363667
44,-29.383255
45,-29.394983
46,-29.399267
47,-29.39654
48,-29.387272
49,-29.371944
50,-29.351109
51,-29.325237
52,-29.294918
53,-29.260649
54,-29.222984
55,-29.182484
56,-29.1396
57,-29.094742
58,-29.048616
59,-29.001373
60,-28.953554
61,-28.90558
62,-28.857574
63,-28.810143
64,-28.763186
65,-28.717121
66,-28.672188
67,-28.628462
68,-28.586138
69,-28.545216
70,-28.50584
71,-28.467972
72,-28.43186
73,-28.39744
74,-28.36461
75,-28.333433
76,-28.303947
77,-28.27619
78,-28.24986
79,-28.225147
80,-28.202057
81,-28.180279
82,-28.159986
83,-28.141176
84,-28.123693
85,-28.107372
86,-28.092375
87,-28.078533
88,-28.066017
89,-28.054323
90,-28.043785
91,-28.034233
92,-28.02566
93,-28.01791
94,-28.01113
95,-28.005167
96,-27.999851
97,-27.995342
98,-27.991482
99,-27.98843
100,-27.985859
101,-27.984095
102,-27.982649
103,-27.981848
104,-27.981527
105,-27.981688
106,-27.98233
107,-27.983452
108,-27.9849
109,-27.986666
110,-27.988752
111,-27.991325
112,-27.994053
113,-27.997112
114,-28.000332
115,-28.004036
116,-28.007744
117,-28.011776
118,-28.015804
119,-28.020166
120,-28.024689
121,-28.029377
122,-28.034071
123,-28.038927
124,-28.043785
125,-28.048813
126,-28.054003
127,-28.059196
128,-28.06439
129,-28.069593
130,-28.074795
131,-28.080166
132,-28.085371
133,-28.090744
134,-28.096123
135,-28.101337
136,-28.106556
137,-28.111778
138,-28.117002
139,-28.122223
140,-28.127289
141,-28.13235
142,-28.137253
143,-28.14232
144,-28.147064
145,-28.151968
146,-28.156713
147,-28.161295
148,-28.16587
149,-28.17046
150,-28.174877
151,-28.179134
152,-28.183393
153,-28.187649
154,-28.191742
155,-28.195671
156,-28.1996
157,-28.203363
158,-28.207134
159,-28.210735
160,-28.214174
161,-28.217611
162,-28.221052
163,-28.224323
164,-28.227438
165,-28.230549
166,-28.233492
167,-28.23644
168,-28.239225
169,-28.242008
170,-28.244625
171,-28.247078
172,-28.249533
173,-28.25199
174,-28.254276
175,-28.256567
176,-28.258696
177,-28.260656
178,-28.262619
179,-28.264585
180,-28.26638
181,-28.26818
182,-28.269978
183,-28.271612
184,-28.273085
185,-28.274555
186,-28.276026
187,-28.277334
188,-28.278643
189,-28.279947
190,-28.28109
191,-28.282236
192,-28.28338
193,-28.284357
194,-28.285337
195,-28.28632
196,-28.287136
197,-28.287952
198,-28.288765
199,-28.28942
200,-28.29024
201,-28.29089
202,-28.29138
203,-28.292036
204,-28.292524
205,-28.293015
206,-28.293503
207,-28.293993
208,-28.29432
209,-28.294811
210,-28.295135
211,-28.295462
212,-28.295788
213,-28.295952
214,-28.29628
215,-28.296442
216,-28.296604
217,-28.296768
218,-28.296932
219,-28.297096
220,-28.297258
221,-28.297258
222,-28.29742
223,-28.29742
224,-28.29742
225,-28.297585
226,-28.297585
227,-28.297585
228,-28.297585
229,-28.297585
230,-28.29742
231,-28.29742
232,-28.29742
233,-28.29742
